,ngram,partition,termhood_x
545,quantum mechanic,1,20363196.13158278
549,boundary term,1,20363062.18918956
542,general property,1,20363032.119966816
540,key role,1,20362902.156378552
556,integral representation,1,20123690.142128024
408,non-linear sigma model,1,20123624.146991782
552,flat direction,1,20123568.1596483
558,lowest order,1,20123564.13391948
407,black hole thermodynamics,1,20123416.23273894
573,matrix model,1,19884264.13902223
568,finite volume,1,19884134.185351435
567,numerical method,1,19884114.131346386
571,such system,1,19884106.149618544
570,derivative expansion,1,19884008.172515262
564,scalar curvature,1,19883962.199590392
583,possible application,1,19644720.1164956
582,different way,1,19644658.118884306
587,second law,1,19644640.22449204
588,infrared divergence,1,19644626.148277633
581,gravitational collapse,1,19644426.213298712
592,certain class,1,19405136.129294015
427,non-abelian gauge theory,1,19405106.170040287
597,four-point function,1,19405064.192709904
591,perfect fluid,1,19404988.207447648
593,gravitational interaction,1,19404894.19066599
432,generalized uncertainty principle,1,19165778.20985954
602,quantum effect,1,19165598.140458938
616,necessary condition,1,18926198.133179363
615,kinetic theory,1,18926134.21407313
611,derivative term,1,18926012.190124977
608,small scale,1,18925988.26422241
606,accelerated expansion,1,18925970.239979707
621,general expression,1,18686728.11293843
622,quantum field,1,18686692.137507718
619,boundary theory,1,18686598.17539038
625,naked singularity,1,18686570.20908744
626,early time,1,18686520.182872023
628,compact object,1,18686414.210480515
633,riemann surface,1,18447278.152996145
635,explicit formula,1,18447274.12423389
631,dynamical system,1,18447234.14538687
634,closed form,1,18447124.136866037
644,klein-gordon equation,1,18207774.13035356
648,general method,1,18207710.12946203
643,general theory,1,18207674.12712058
466,cosmological constant problem,1,18207628.174446438
658,explicit solution,1,17968280.11809647
655,integral equation,1,17968222.18222492
654,new way,1,17968216.115833994
664,total energy,1,17728654.130370986
671,exact expression,1,17728622.138723712
667,classical level,1,17728588.184914898
665,holographic description,1,17728582.178933546
678,complex structure,1,17489354.162675355
677,internal space,1,17489200.146420684
676,complex plane,1,17489188.153042667
673,chiral anomaly,1,17489178.15024397
682,dual theory,1,17489166.152620427
681,black string,1,17489084.19622774
683,bekenstein-hawking entropy,1,17489040.215790346
687,recent paper,1,17249782.09723101
690,flux compactifications,1,17249662.21367555
688,full set,1,17249640.139638487
693,flow equation,1,17249618.255372155
691,conformal anomaly,1,17249546.163055643
705,one-loop amplitude,1,17010374.09273035
697,topological string,1,17010282.246904116
698,sufficient condition,1,17010270.11613524
706,closed string,1,17010216.212554697
702,holographic dual,1,17010148.159231775
709,similar result,1,17010118.14705982
701,slow-roll inflation,1,17009968.252071418
714,physical state,1,16770830.099249952
727,integrable model,1,16531248.144433396
522,null energy condition,1,16531162.138195885
734,black ring,1,16531148.229749002
735,friedmann equation,1,16531106.183233388
729,magnetic monopoles,1,16531082.25774106
741,sine-gordon model,1,16291710.19653865
750,higher derivative,1,16291646.186027976
753,logarithmic correction,1,16291488.179257147
740,cosmological parameter,1,16291388.264300467
756,bosonic string,1,16052286.134398278
760,hypergeometric function,1,16052260.129322644
768,open problem,1,16052160.11720397
770,bose-einstein condensate,1,16052072.16067572
758,gravitational potential,1,16051870.207888385
785,feynman integral,1,15812846.134947257
778,conformal transformation,1,15812642.117450342
786,canonical quantization,1,15812632.191437922
779,asymptotic expansion,1,15812554.134608163
776,quantum level,1,15812522.19159963
783,scalar-tensor theory,1,15812426.223964535
799,hamiltonian formulation,1,15573124.156582555
794,one-to-one correspondence,1,15573078.133763013
797,same way,1,15573042.116074592
795,perfect agreement,1,15573040.138445672
789,inflationary scenario,1,15572916.218226481
792,cosmological implication,1,15572886.161898429
807,same result,1,15333616.136331156
805,dimensional theory,1,15333518.136093562
802,broad class,1,15333512.122680966
800,earlier result,1,15333450.143065473
806,hybrid inflation,1,15333428.28090485
814,supersymmetric solution,1,15094094.159892695
826,total number,1,15094068.122570861
822,free theory,1,15094010.133862725
824,such solution,1,15094002.131417304
823,fermionic field,1,15094000.173038045
818,stress-energy tensor,1,15093962.150652029
815,einstein-hilbert action,1,15093946.145035727
817,black branes,1,15093926.2388366
813,gravitational effect,1,15093880.179679511
812,cosmological scenario,1,15093822.210854866
820,acoustic oscillation,1,15093770.46548597
835,superconformal algebra,1,14854576.256043822
829,free field,1,14854544.149931157
830,new set,1,14854542.116052674
832,physical system,1,14854536.127561053
827,third order,1,14854498.137225823
839,interesting feature,1,14854368.14910739
838,general feature,1,14854342.1561221
639,supersymmetric quantum mechanic,1,14615172.100412691
840,holographic superconductors,1,14614950.342172556
638,scalar field model,1,14614946.133150345
845,conserved charge,1,14614940.135517966
851,other word,1,14614930.135792214
846,euclidean space,1,14614922.151824845
844,infinite set,1,14614876.159131238
850,local symmetry,1,14614874.160905965
637,large scale structure,1,14614706.276987668
863,higher spin,1,14375488.260762777
649,abelian gauge theory,1,14375472.153240245
866,conformal dimension,1,14375386.163547205
862,dual cft,1,14375328.195254523
882,special relativity,1,14136068.115728686
884,minimal length,1,14136024.176175058
878,numerical evaluation,1,14136000.12351368
890,conformal block,1,14135994.173003433
880,superconformal symmetry,1,14135976.153745526
661,two-point correlation function,1,14135916.120975593
886,long time,1,14135874.135398496
877,general formalism,1,14135866.134747783
881,unified description,1,14135850.136879796
883,certain condition,1,14135848.127789408
887,curved spacetime,1,14135836.137269542
889,scalar theory,1,14135830.144781811
879,possible way,1,14135788.146967428
896,calabi-yau threefolds,1,13896490.19102686
892,modulus stabilization,1,13896468.168163445
898,gauged supergravity,1,13896438.16883791
894,non-relativistic limit,1,13896428.121981986
897,gauge invariant,1,13896400.12593076
891,other method,1,13896378.105966548
900,fundamental theory,1,13896312.141932352
893,possible solution,1,13896304.13409557
910,explicit construction,1,13656920.114279369
694,heterotic string theory,1,13656880.136352738
911,simple form,1,13656880.107900698
912,static solution,1,13656826.13561928
904,n >,1,13656822.132159978
906,inflationary cosmology,1,13656788.184705215
909,gauss-bonnet term,1,13656732.186940676
711,double field theory,1,13417486.169305097
929,gauge transformation,1,13417406.136816047
712,topological field theory,1,13417378.122968731
937,loop order,1,13417320.136773797
931,derivative correction,1,13417318.155316582
923,general result,1,13417290.121718213
918,chaotic inflation,1,13417266.271407178
935,gauss-bonnet gravity,1,13417180.183357392
944,conserved quantity,1,13177812.122316983
938,initial data,1,13177770.15131192
941,relativistic particle,1,13177768.139025128
940,near-horizon geometry,1,13177708.172044074
954,variational principle,1,13177706.161992857
942,rotational symmetry,1,13177688.160484377
943,canonical ensemble,1,13177668.20483813
950,physical degree,1,13177662.197576903
967,quantum theory,1,12938388.089194749
971,statistical mechanic,1,12938244.140134595
980,systematic way,1,12938212.117434174
966,classical equation,1,12938208.131759038
962,various type,1,12938204.117229803
965,more detail,1,12938174.129302787
960,false vacuum,1,12938170.247213617
963,two-loop order,1,12938170.14554697
958,asymptotic behaviour,1,12938152.139440052
973,functional form,1,12938126.147889689
976,gravitational perturbation,1,12938116.194638753
975,gravitational coupling,1,12938046.163109781
961,cosmic acceleration,1,12937964.278159231
987,same form,1,12698702.13071673
989,basic property,1,12698692.106304679
983,covariant derivative,1,12698660.15809434
994,arbitrary value,1,12698656.123797039
985,new perspective,1,12698646.126907386
999,recent proposal,1,12459214.095119989
997,one-parameter family,1,12459182.109934691
4,experimental data,2,305351442.45943683
5,final state,2,303215906.7021085
6,large hadron collider,2,226288358.58810195
7,effective field theory,2,200123630.42871943
13,upper limit,2,187271394.52782074
17,good agreement,2,158448498.29124135
21,first time,2,150582674.23848277
24,integrated luminosity,2,133651702.47467671
26,recent result,2,121008030.15513971
25,proton-proton collision,2,121005984.72202234
27,numerical result,2,120529398.26012559
28,high energy,2,119813656.26462114
23,heavy ion collision,2,112653330.46840878
34,next-to-leading order,2,111698110.39946382
36,top quark,2,109787596.58788502
48,experimental result,2,92594998.1939601
49,theoretical prediction,2,91400054.2595415
33,differential cross section,2,89011538.29730855
55,quark-gluon plasma,2,87100020.37197617
58,wide range,2,85427210.20689365
61,important role,2,84232754.17804456
64,heavy quark,2,81365270.32615842
42,chiral perturbation theory,2,80887684.42801912
69,inelastic scattering,2,76825126.26491626
47,standard model prediction,2,74434044.33768371
72,perturbative qcd,2,73956450.27343711
74,pp collision,2,72761088.43688494
75,new result,2,72522512.14281361
56,total cross section,2,68936160.3202207
90,invariant mass,2,64154244.24263022
91,centre-of-mass energy,2,62958460.47927632
95,angular distribution,2,61285170.173469864
98,center-of-mass energy,2,58653840.40619656
103,systematic uncertainty,2,57219340.20864854
104,imaginary part,2,56501546.3171926
108,present result,2,55784466.16487533
109,theoretical uncertainty,2,55783852.260874696
112,matrix element,2,55545132.17203902
117,strong interaction,2,54827378.19921118
124,preliminary result,2,53393086.11255919
136,lhc energy,2,50282422.32131283
140,cross section,2,49325422.20393956
144,recent progress,2,48847396.1233138
142,recent development,2,48847182.14843247
149,\cal o,2,47889712.17845282
152,excited state,2,47650852.18737776
155,current status,2,47172584.148305416
101,standard model higgs,2,45975444.3003093
167,precise measurement,2,45736746.17733441
173,decay width,2,44540346.21961593
172,transverse momentum,2,44540130.26771535
177,first measurement,2,44062062.18029855
180,elastic scattering,2,43822780.18715664
115,qcd sum rule,2,43583816.21589489
183,global fit,2,43104288.225697845
186,experimental value,2,42865380.1838523
195,recent measurement,2,42147400.17123812
199,next-to-next-to-leading order,2,40950758.371211626
200,quantum number,2,40711812.15018787
202,experimental measurement,2,40232792.18392384
207,special attention,2,39993672.14369201
208,initial state,2,39754394.166856244
211,forward-backward asymmetry,2,39514808.37824252
213,semileptonic decay,2,39275752.22118531
225,radiative decay,2,38079434.15628622
150,electromagnetic form factor,2,37839978.211486585
229,form factor,2,37600368.22325823
233,standard deviation,2,36882488.22026153
238,available data,2,36403646.17319708
244,pseudoscalar meson,2,35685714.21280938
245,detailed study,2,35685368.17872392
170,standard model expectation,2,35685316.319585614
176,nuclear modification factor,2,34967460.478214584
250,light quark,2,34728048.18609208
189,invariant mass distribution,2,33770606.22037123
257,atlas experiment,2,33770482.361455135
264,systematic error,2,33052762.17297278
268,lhcb experiment,2,32813482.21870765
271,scalar meson,2,32574320.17537326
273,first result,2,32574176.11928408
204,high energy physic,2,31856008.122774657
282,previous analysis,2,31855776.14625187
289,different value,2,31137606.147684313
292,nuclear collision,2,30898270.231390845
296,theoretical model,2,30658744.16001174
221,final state interaction,2,30419652.173609708
313,elliptic flow,2,29461804.38525549
319,phenomenological model,2,28982980.149767444
317,qcd correction,2,28982934.26121519
322,decay channel,2,28743426.17900759
242,invariant mass spectrum,2,28504382.136379916
331,global analysis,2,28504066.26411746
341,systematic study,2,28025368.147107944
338,leptonic decay,2,28025220.191344384
343,gluon fusion,2,28025188.260384917
346,good description,2,27786034.152656753
356,au+au collision,2,27307168.35227499
352,different approach,2,27307130.15067854
252,proton-proton collision data,2,27306830.39334317
362,recent data,2,27067594.15313184
256,top quark mass,2,26828140.24405493
368,first observation,2,26589248.1524336
258,strong coupling constant,2,26588814.22734785
367,theoretical calculation,2,26588746.16877964
369,higgs production,2,26588666.25517621
372,\cal b,2,26349596.18625146
371,real part,2,26349302.265701
375,different model,2,26349278.152572963
373,cern lhc,2,26349106.227631688
263,top quark pair,2,26349064.3191182
378,deep-inelastic scattering,2,26110182.215302948
381,nucleus-nucleus collision,2,26109884.272288747
397,potential model,2,25870794.151962157
392,pb-pb collision,2,25870520.376114525
390,non-perturbative effect,2,25870502.163793065
389,differential distribution,2,25870334.289137594
399,hadronic decay,2,25631308.13337209
280,s * *,2,25391860.268477723
281,heavy ion collider,2,25391510.31578238
409,new measurement,2,25152406.1355418
410,bethe-salpeter equation,2,25152362.16736303
416,intermediate state,2,24912946.150096633
418,charged particle,2,24912848.15967907
425,neural network,2,24673612.23079348
290,relativistic heavy-ion collision,2,24673380.218359757
420,excellent agreement,2,24673290.130832486
429,drell-yan process,2,24433976.235685054
298,next-to-leading order qcd,2,24194438.301732246
430,final result,2,24194394.161359098
304,chiral quark model,2,23715794.150671966
448,powerful tool,2,23476080.134793613
450,hadronic collision,2,23476058.218243252
452,theoretical framework,2,23475954.1456964
462,nuclear physic,2,23236740.172204338
460,decay mode,2,23236580.14971195
467,special emphasis,2,22757930.10113655
477,statistical significance,2,22518340.150797475
474,physical observables,2,22518200.173838235
475,significant excess,2,22517890.414238207
487,internal structure,2,22039328.170915876
