ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
standard model,9644,0.13257028168062127,2257505053.1162143,9644,0.13257028168062127,2257505053.1162143
dark matter,5752,0.07906929284808518,1368833603.7052708,5752,0.07906929284808518,1368833603.7052708
high energy,3261,0.04482701042726108,784169665.1879393,3261,0.04482701042726108,784169665.1879393
experimental data,3197,0.04394724082672606,768983443.2028323,3197,0.04394724082672606,768983443.2028323
new physic,2874,0.03950715362402587,692213782.5307361,2874,0.03950715362402587,692213782.5307361
supersymmetric standard model,2221,0.038525522723314276,536381894.35245156,2221,0.038525522723314276,536381894.35245156
final state,2784,0.03826997762327349,670791436.328864,2784,0.03826997762327349,670791436.328864
heavy quark,2482,0.034118564820748855,598775340.6051613,2482,0.034118564820748855,598775340.6051613
low energy,2429,0.033390005620305786,586116489.1908087,2429,0.033390005620305786,586116489.1908087
supersymmetric standard,2264,0.03112184961892643,546669361.35773,2264,0.03112184961892643,546669361.35773
next-to-leading order,2144,0.029472281617923268,517958660.3434405,2144,0.029472281617923268,517958660.3434405
top quark,2082,0.028620004817404964,503105292.69945204,2082,0.028620004817404964,503105292.69945204
neutrino mass,1879,0.02582948561570794,454435249.74469686,1879,0.02582948561570794,454435249.74469686
large hadron collider,1483,0.025724155875135105,359245416.1424542,1483,0.025724155875135105,359245416.1424542
chiral symmetry,1790,0.02460605601496392,433070796.66739035,1790,0.02460605601496392,433070796.66739035
chiral perturbation theory,1410,0.024457896010748822,341668403.20621485,1410,0.024457896010748822,341668403.20621485
perturbative qcd,1686,0.02317643041409451,408086432.2312615,1686,0.02317643041409451,408086432.2312615
magnetic moment,1675,0.02302522001400255,405441881.11831206,1675,0.02302522001400255,405441881.11831206
effective field theory,1311,0.02274063948233454,317807488.0789237,1311,0.02274063948233454,317807488.0789237
higgs boson,1627,0.022365392813601285,393896459.32767427,1627,0.022365392813601285,393896459.32767427
radiative correction,1625,0.022337900013584565,393418579.1460665,1625,0.022337900013584565,393418579.1460665
large hadron,1622,0.022296660813559487,392692133.14974844,1622,0.022296660813559487,392692133.14974844
effective theory,1617,0.022227928813517685,391493591.33918464,1617,0.022227928813517685,391493591.33918464
cp violation,1519,0.020880781612698435,367916985.197369,1519,0.020880781612698435,367916985.197369
heavy ion,1503,0.020660839212564674,364065588.090332,1503,0.020660839212564674,364065588.090332
good agreement,1483,0.02038591121239748,359252125.1126152,1483,0.02038591121239748,359252125.1126152
chiral perturbation,1467,0.020165968812263728,355397100.2107055,1467,0.020165968812263728,355397100.2107055
heavy ion collision,1155,0.020034659498166584,280172773.92704827,1155,0.020034659498166584,280172773.92704827
effective field,1356,0.0186401184113358,328655333.08015,1356,0.0186401184113358,328655333.08015
extra dimension,1349,0.018543893611277278,326971281.1284357,1349,0.018543893611277278,326971281.1284357
magnetic field,1288,0.017705363210767336,312266630.12291443,1288,0.017705363210767336,312266630.12291443
finite temperature,1259,0.017306717610524904,305269803.3421401,1259,0.017306717610524904,305269803.3421401
supersymmetric model,1246,0.017128014410416226,302132418.1840125,1246,0.017128014410416226,302132418.1840125
direct detection,1198,0.01646818721001496,290546903.06313777,1198,0.01646818721001496,290546903.06313777
scalar field,1174,0.016138273609814326,284760424.1138441,1174,0.016138273609814326,284760424.1138441
numerical result,1143,0.015712135209555174,277276095.0882962,1143,0.015712135209555174,277276095.0882962
inelastic scattering,1127,0.015492192809421417,273415199.0920472,1127,0.015492192809421417,273415199.0920472
linear collider,1117,0.01535472880933782,270997099.16412574,1117,0.01535472880933782,270997099.16412574
invariant mass,1100,0.015121040009195705,266891040.50527456,1100,0.015121040009195705,266891040.50527456
upper bound,1096,0.015066054409162267,265924078.15678525,1096,0.015066054409162267,265924078.15678525
neutrino oscillation,1094,0.015038561609145545,265443882.3195192,1094,0.015038561609145545,265443882.3195192
right-handed neutrino,1043,0.014337495208719199,253119731.2499154,1043,0.014337495208719199,253119731.2499154
higgs mass,1031,0.014172538408618882,250218853.2309385,1031,0.014172538408618882,250218853.2309385
relic density,1030,0.014158792008610525,249974996.69375056,1030,0.014158792008610525,249974996.69375056
solar neutrino,1029,0.014145045608602165,249739421.45879644,1029,0.014145045608602165,249739421.45879644
total cross section,776,0.01346051581868162,188529919.1055172,776,0.01346051581868162,188529919.1055172
quark-gluon plasma,967,0.013292768808083862,234751967.19822356,967,0.013292768808083862,234751967.19822356
other hand,964,0.01325152960805878,234024682.07370818,964,0.01325152960805878,234024682.07370818
dark matter candidate,742,0.012870750950337323,180293072.36505628,742,0.012870750950337323,180293072.36505628
tree level,931,0.012797898407782912,226043655.1178028,931,0.012797898407782912,226043655.1178028
light quark,920,0.012646688007690953,223383934.34388927,920,0.012646688007690953,223383934.34388927
strong coupling,913,0.012550463207632435,221691079.3446652,913,0.012550463207632435,221691079.3446652
electroweak symmetry,891,0.012248042407448522,216365889.7063824,891,0.012248042407448522,216365889.7063824
higher order,890,0.012234296007440162,216126590.2826716,890,0.012234296007440162,216126590.2826716
matrix element,851,0.011698186407114132,206690309.0625351,851,0.011698186407114132,206690309.0625351
early universe,840,0.011546976007022175,204026154.18292743,840,0.011546976007022175,204026154.18292743
atmospheric neutrino,827,0.011368272806913498,200880907.2083328,827,0.011368272806913498,200880907.2083328
qcd sum rule,654,0.011344300702857963,158971265.05142257,654,0.011344300702857963,158971265.05142257
first order,816,0.011217062406821542,198215662.54750407,816,0.011217062406821542,198215662.54750407
cosmic ray,807,0.011093344806746303,196038773.109926,807,0.011093344806746303,196038773.109926
first time,803,0.011038359206712865,195069765.05272672,803,0.011038359206712865,195069765.05272672
total cross,790,0.010859656006604188,191920235.104878,790,0.010859656006604188,191920235.104878
differential cross section,626,0.010858611987750894,152181637.0633139,626,0.010858611987750894,152181637.0633139
theoretical prediction,769,0.010570981606428633,186836121.07494012,769,0.010570981606428633,186836121.07494012
double beta decay,604,0.010476999425881055,146845917.09536737,604,0.010476999425881055,146845917.09536737
upper limit,762,0.010474756806370115,185140290.09869105,762,0.010474756806370115,185140290.09869105
experimental result,749,0.01029605360626144,181991905.05733716,749,0.01029605360626144,181991905.05733716
lower bound,746,0.01025481440623636,181264104.1106237,746,0.01025481440623636,181264104.1106237
theoretical uncertainty,737,0.010131096806161121,179084867.08014244,737,0.010131096806161121,179084867.08014244
dark matter particle,581,0.010078040838471677,141267097.33413368,581,0.010078040838471677,141267097.33413368
supersymmetric particle,704,0.009677465605885251,171087942.19735476,704,0.009677465605885251,171087942.19735476
yukawa coupling,702,0.009649972805868531,170603762.1277165,702,0.009649972805868531,170603762.1277165
sterile neutrino,700,0.009622480005851813,170120068.21715906,700,0.009622480005851813,170120068.21715906
higgs doublet,697,0.009581240805826733,169391169.53894073,697,0.009581240805826733,169391169.53894073
dipole moment,692,0.009512508805784935,168180752.27624595,692,0.009512508805784935,168180752.27624595
wide range,689,0.009471269605759855,167454145.05769297,689,0.009471269605759855,167454145.05769297
strong interaction,681,0.009361298405692978,165515847.05568033,681,0.009361298405692978,165515847.05568033
double beta,666,0.009155102405567581,161878347.11509022,666,0.009155102405567581,161878347.11509022
qcd sum,663,0.009113863205542503,161152990.05182844,663,0.009113863205542503,161152990.05182844
pseudoscalar meson,662,0.009100116805534143,160910720.10270083,662,0.009100116805534143,160910720.10270083
recent result,659,0.009058877605509065,160183193.04890916,659,0.009058877605509065,160183193.04890916
initial condition,655,0.009003892005475625,159214243.09491935,655,0.009003892005475625,159214243.09491935
strange quark,650,0.008935160005433826,158001384.38932666,650,0.008935160005433826,158001384.38932666
angular distribution,639,0.008783949605341868,155335129.0567686,639,0.008783949605341868,155335129.0567686
differential cross,635,0.00872896400530843,154363870.06377167,635,0.00872896400530843,154363870.06377167
effective potential,635,0.00872896400530843,154363861.15598145,635,0.00872896400530843,154363861.15598145
chemical potential,635,0.00872896400530843,154364781.23648202,635,0.00872896400530843,154364781.23648202
supersymmetric extension,621,0.008536514405191395,150968343.1510024,621,0.008536514405191395,150968343.1510024
electroweak scale,620,0.008522768005183033,150725728.13085577,620,0.008522768005183033,150725728.13085577
free parameter,617,0.008481528805157955,149999837.05332935,617,0.008481528805157955,149999837.05332935
experimental constraint,612,0.008412796805116156,148785676.1327191,612,0.008412796805116156,148785676.1327191
important role,606,0.008330318405065998,147332400.0429852,606,0.008330318405065998,147332400.0429852
chiral symmetry breaking,477,0.008274054182359707,116030779.3504387,477,0.008274054182359707,116030779.3504387
electroweak symmetry breaking,476,0.00825670815682017,115786528.6315593,476,0.00825670815682017,115786528.6315593
anomalous dimension,597,0.00820660080499076,145151103.04884776,597,0.00820660080499076,145151103.04884776
radiative decay,594,0.008165361604965681,144423000.05891895,594,0.008165361604965681,144423000.05891895
electromagnetic form factor,468,0.008117939952503863,113845909.0290393,468,0.008117939952503863,113845909.0290393
dark matter annihilation,464,0.008048555850345711,112873434.34928164,464,0.008048555850345711,112873434.34928164
electric dipole moment,463,0.008031209824806174,112630550.07682417,463,0.008031209824806174,112630550.07682417
neutrino mass matrix,459,0.00796182572264802,111660527.3458991,459,0.00796182572264802,111660527.3458991
standard model prediction,459,0.00796182572264802,111659673.12385811,459,0.00796182572264802,111659673.12385811
cosmic microwave background,457,0.007927133671568944,111174482.05222926,457,0.007927133671568944,111174482.05222926
