,topic,Accelerators,Astrophysics,Computing,Condensed Matter,Experiment-HEP,Experiment-Nucl,General Physics,Gravitation and Cosmology,Instrumentation,Lattice,Math and Math Physics,Other,Phenomenology-HEP,Quantum Physics,Theory-HEP,Theory-Nucl,topic_x,topic_y,description
33,33,-0.24322723441510216,1.3550625092964967,-0.2715554271308461,-0.5205468416490695,0.21442956843276,-0.170700638930889,-0.38012015791375847,-0.05353916943143455,0.8650442458372551,-0.8251598176869492,-0.8322548539636966,0.31470592968208805,0.3447061296298188,-0.4125108414819855,-0.514101371429671,-0.25064616475745466,33,33,Dark matter direct detection and WIMPs
34,34,-0.6005469669559993,-0.23250355231480102,-0.35092883067257796,-0.6903286827483182,0.07260642532500128,-0.8455396110662607,-0.6716305428266418,-0.5661759809615934,-0.9198651088396208,-0.40426201779170917,-0.6928449987222082,0.08375756337367087,0.3200670515455281,-0.8571986716208412,-0.40931191890220786,-0.7495390342354002,34,34,Higgs boson
35,35,-0.3776262768530699,-0.372464032315056,0.508238363494814,0.005212894000153739,-0.268262250874316,-0.18758620355277061,-0.06200779868221245,-0.33388917995359346,-0.43269558519756335,0.40570553578994806,-0.17916012434060838,0.01438386955494818,0.1668729669789107,-0.19819911687545955,-0.15187554358747485,0.12582130296457267,35,35,Perturbative QCD
36,36,-0.3914567615019386,1.2440921269994931,-0.4429335153525793,-0.4376530386915934,-0.10350551528640663,-0.3331508832704885,-0.37222811396731176,0.37800609765349547,0.31507332896462475,-0.6069955721451978,-0.6214156849131974,0.28182277538911366,0.276226838182636,-0.44405514531000057,-0.218906104725161,-0.20435285984483273,36,36,Dark matter in the universe
37,37,-0.36845086108071123,0.07557328611694987,-0.10720477047163274,-0.49618359326722344,-0.07095430612438326,-0.4224096837685385,-0.4374451534797747,-0.23292401388168774,-0.312215457269874,-0.28712707722512465,-0.42174154334581815,0.056009168509038705,0.25931139219044924,-0.482848639613456,-0.2686921058297466,-0.3688619629005463,37,37,Susy phenomenology and superpartners
38,38,1.9347625972764217,0.1557343297155307,1.2454315484731289,-0.23654129001126875,0.969804472585157,0.8855812018124245,-0.10468210580147636,-0.5056421507694921,2.19560845940583,-0.34153813361234225,-0.5386985029604223,0.07950743166816858,-0.057270416480425045,0.07307240598442599,-0.6234053412073,0.08116068123014195,38,38,Instruments
39,39,0.6185559410542754,-0.2527783628270449,0.8703349187760272,-0.7348762497017859,0.9282796267918518,0.6499935289606844,-0.6856829441142425,-0.7900045236440146,0.7283900446971653,-0.7148375420177376,-0.9309626370146433,0.25883923273019427,0.16310085412463576,-0.4887884792919975,-0.8679151440427072,0.19823713471384152,39,39,Events in colliders (final states)
40,40,-1.02293195588574,-0.43858227734955785,-0.5570119814309589,0.10882213137554271,-0.7289553575525558,-0.8128426142025639,-0.08245118815844646,-0.3956727182867154,-1.0825595277940787,0.5302492881763917,-0.06980445523898114,-0.13675158679467136,0.0280558111432417,-0.39103232309979974,0.06462231319480506,-0.3191999868201545,40,40,Matter in SU gauge symmetries
41,41,-0.34198933209702986,-0.8153549861954008,-0.5000350567984486,-1.0140369025923999,1.0308814882480446,0.37626906469314436,-0.8870137704477953,-1.1245369770898794,-0.18387948737069887,-0.4571403029975074,-1.0628408168729788,0.19327700921828253,0.09312352463575593,-0.80202966553963,-1.056124843252915,0.009110875767584785,41,41,Decay measurements
42,42,-1.0084448601568905,-0.7434344479190389,-0.7968617063220307,-0.06810799563043451,-1.1945035402132167,-1.2831070004485348,-0.16911070843805154,-0.21431073586149138,-1.3592745777951307,-0.05239959566735517,0.4053020246269924,-0.4070141982741087,-0.5604016122224137,-0.43329428473168147,0.49912704529380575,-0.8595258464777039,42,42,Supersymmetric gauge theories
43,43,-0.8667023056227119,0.394838044765382,-0.7279191374254057,-0.07420839220394657,-0.8891865867141208,-1.0225237236810776,-0.05196967796290269,0.9010222448703096,-0.9347740903469898,-0.4695432236867971,0.02763404815129796,-0.0843576728939111,-0.3334612123164999,-0.05747817919432814,0.4213563764068016,-0.7538079665347192,43,43,Gravitons and extra-dimensions
44,44,0.0790374497730051,-0.24065137805383965,1.450335088150516,0.5683978594497612,0.08190037788371365,0.2050595909648421,0.3917915632398332,-0.45712650204592925,0.42413789752376346,1.1561974108704176,-0.10946327597808994,0.09386949542674332,-0.06583664262364389,0.2216714451393591,-0.27350150727434525,0.20142621740597075,44,44,Algorithms and calculation techniques
45,45,0.7193740207704884,0.5892854059830765,-0.2604366586121746,-0.8465479442190634,0.5242980069185033,0.4359884262064573,-0.6585573806031162,-0.7348219897077272,1.14841166436413,-0.7958217212103987,-1.0608740216845396,-0.044737360379670146,0.3399529603675964,-0.6356209718982779,-0.8702258322419255,-0.04025822068056248,45,45,Neutrino physics
46,46,-0.6132303883812158,1.3802172640069321,-0.7582124289886263,-0.18939994752602868,-1.0483934874089085,-0.7486743500313056,-0.04119780989497011,1.2073840425954065,-0.9430305906649776,-0.5692212108245015,-0.2607401003674789,0.14670766038426228,-0.07724648757914099,0.12070840892311577,0.3714610349264623,-0.390655063145179,46,46,Inflation
47,47,0.7833480950604681,-0.48473205603937747,0.14642471904384113,-1.1730427602348958,1.0078063945472215,0.867999387617,-0.9373934195981364,-1.0001384813870564,0.5310125857185882,-1.0335021320415243,-1.253653513066238,0.2662110617334772,0.16902604443861924,-0.9211409706464011,-1.0513055734683547,0.3096740034847371,47,47,Events in colliders (kinematics)
48,48,-0.12668522182413938,-0.3980217933358949,-0.38395438153323286,-0.9748570974724255,0.4184228618263673,-0.18041007817883462,-0.7937655099658988,-0.8982108376167507,-0.4027444569822419,-0.12070520267567027,-0.9565112893380101,0.044933845817652064,0.3502043037879476,-0.9727953029776845,-0.8076564547675106,-0.12900300647214635,48,48,Top quark
49,49,-0.5338598551359607,-0.17715212780358,-0.21504408120958257,1.0855704064358145,-0.6955071308841979,-0.3515934319615574,0.770398244379336,0.14627795587969028,-0.6501639653261526,0.6377631880291681,0.08932202156709464,0.08882907036654943,-0.15874051969146785,0.46524298337926523,0.1858402191981533,0.189981825961337,49,49,States of matter
50,50,0.9233638778092059,-0.15711574759119645,1.1059351733885538,-0.4837597035696633,0.8465253799597582,0.8524428764031665,-0.3726544229003353,-0.6628527641864217,1.1951366491626845,0.059209448542111416,-0.6978730835944124,0.15469794604404216,0.058932769009057626,-0.25385852391867425,-0.7313894449623081,0.2842931224970615,50,50,Measurements and results from colliders
51,51,-0.47324127081522943,-0.002022139665771705,-0.49388982292047423,-0.5704228375524342,0.0887618706125951,-0.1442350760309107,-0.5329612436663392,-0.45869516392931653,-0.3016768477994454,-0.12071537260017125,-0.6229804330622171,-0.017481287115934975,0.29475454834056103,-0.6332340500885952,-0.43789119383849995,-0.1906351659028855,51,51,Particles properties
52,52,0.09302686959108017,0.5333135043515622,0.7094684630069388,0.12699948911207215,-0.021834204673278304,0.9897658565020124,0.25230916530913855,0.2593540099651583,0.10240354553952571,-0.14667971570357008,-0.20339863050652648,0.35799244946583036,0.11949095576403561,0.3553117497224376,-0.12545385362207728,1.014622130119224,52,52,Stars physics
53,53,0.05567145849376807,1.3794109232241576,0.026168719185679395,-0.2785487635791599,-0.08053583531839603,-0.13117938753443073,-0.06621775098180516,0.7986363489623796,0.5575578677865228,-0.5550437685483116,-0.5098497453704354,0.1857668107326748,0.09700468495993157,0.04427144867835216,0.01219340168184318,-0.11261218348102751,53,53,Cosmological sources
54,54,0.7321023104614569,0.12587928086763714,0.6229554658045138,-0.5115664480893976,0.7131835848133511,0.4941312028379952,-0.4053671035316112,-0.4124858000571219,1.0873286607939079,-0.029062572421843926,-0.698900539790846,0.1910822175366207,0.14919051600044209,-0.31670710381003364,-0.6376782346137869,0.07976410331857488,54,54,Measurements and analysis of colliders data
55,55,-0.398467881959217,0.1264505512825929,-0.5570871815890109,0.6599369707682966,-0.6761718559289767,-0.02443776397024649,0.4770869570806832,0.004876014101078784,-0.5418475756358008,0.730243580659035,-0.4139561001862717,0.2482042877657775,0.07710602387731819,0.09550053990830457,-0.029286079670130683,0.6659509249195147,55,55,Thermodynamics
56,56,-0.65551693273066,-0.0606660599388566,-0.5708462991759067,-0.6354089238689591,0.13705634451543183,0.2649539872373572,-0.5663435945618127,-0.4806449856193446,0.13727115602076728,-0.03390965869847115,-0.6762498488419278,-0.0010586886144414312,0.28696925322136696,-0.6637885131861766,-0.46763164106256694,0.06981813931463689,56,56,Double-beta decay?
57,57,-0.8358887195007638,-0.6770226181237965,-0.45011188043587685,-0.13808608266747707,-0.46506977479974804,-0.05141319073985137,-0.2634020798456346,-0.8930476911048189,-1.1522820963616385,1.1760905928718486,-0.7761505996264302,0.0022905943603244157,0.23586965646268745,-0.7912713779296023,-0.48336990216558107,0.6361556010377556,57,57,Chirality and hadronic matter 
58,58,-1.1303122445854932,-0.33636565900663035,-0.5944509056288976,0.18990610612551706,-0.9207912257095702,-1.0615487457033275,0.014995065845575644,-0.1999274463536628,-1.131076129924685,0.12425439945217917,0.22230571117906536,-0.22843920171550566,-0.0731476151946318,-0.21809588979490477,0.2277946820182241,-0.6271779193018493,58,58,Gauge symmetries/symmetry breaking/GUTs
59,59,0.3274924957295589,-0.6264564752616466,-0.26713429693014945,-1.08440283655886,0.8454092477069852,1.2263733604724323,-0.8854065369344599,-1.1283748247032714,0.06279487688524223,-0.9684856636191789,-1.1082036617395103,0.17972180850505376,0.261822925601336,-0.9410198261094166,-1.0644727333967232,0.7430250316719724,59,59,Production of particles in colliders
60,60,-0.9395126128892537,-0.5909794877389087,-0.6011209381237171,0.1485580540801228,-1.0495202190345319,-1.0689856901655073,0.1492284901021984,-0.16791569054448288,-1.1703169247972567,-0.3240906029885023,0.7277620749012083,-0.45204000719384724,-0.4642733329536467,-0.09733821810558708,0.45613490637428644,-0.7892552303393515,60,60,Superfields
61,61,0.04838411256676216,-0.4590591185988174,-0.31114979447196206,-0.6711883087644483,0.45013362620867725,0.8080264808860895,-0.5279682536821589,-0.8572761350998312,-0.051841073159233926,-0.3585509675400555,-0.683060363971242,0.012299203032961569,0.30441446987366916,-0.577237809327423,-0.7379652457078966,0.6279437915270167,61,61,Scattering of composite particles
62,62,-1.1831835533916426,0.28233592005544766,-0.8981073685645914,-0.05652265715968544,-1.4686227040782258,-1.3342381033505335,0.08127357735424415,1.1145001621010264,-1.337470071557382,-0.7030136184070174,0.3937534933618817,-0.07783693344033557,-0.7574755900088902,0.12655615029488876,0.5998346892151039,-0.8513355377871743,62,62,Space-time geometry and gravity
63,63,0.2708236292332438,0.17999951372995363,-0.41327971665805235,0.39058198090781693,-0.2673278283755123,0.5534761854138416,0.42523127443157527,0.08063460239827176,-0.09974673247887073,-0.15624625362207445,-0.2561434409090621,0.25277319893227523,0.11754557322202581,0.39104392035837054,-0.02757749063764168,0.7858847426437399,63,63,Electromagnetism
64,64,-0.011282126170861955,-0.07153292341722364,-0.1953370020647947,-0.7834890610228753,0.20387335486733882,-0.5190104539786365,-0.7118122989564895,-0.600170352374145,-0.4925085287701389,-0.6833597430139627,-0.7376397097032622,0.07461654246288921,0.3524596767085834,-0.8956181571673578,-0.5158413106127242,-0.6072089472978762,64,64,Higgs beyond the SM
65,65,0.7405907233262186,-0.1918082179558355,-0.1156424964445102,-0.8637053564813222,0.9300681610602154,0.18848950327167488,-0.7498264725416677,-0.8435360938722232,0.4690543850633622,-0.5815418304137143,-1.0669024003840997,0.05308399352397058,0.13215104959189936,-0.7630057055246061,-0.9173819483541621,-0.3290346538584124,65,65,Junk(decay/search/data/limit/gamma/collider)
66,66,-0.9227888225743492,-0.8080622130643645,0.4767616792718164,0.2863543029824244,-0.8322579194899782,-0.7579905310830748,0.1791638113659803,-0.42792342072985895,-0.8268417173346407,1.1204061739722797,0.34416382070888013,-0.1648713025616065,-0.21153755487318324,0.052438958375275346,0.11285294811977205,-0.1996730010534871,66,66,Lattice calculation techniques
67,67,-0.9386604003654465,-0.7331050119341891,0.07984587894179102,0.16288393889261404,-1.1722309816272212,-1.0305900534312329,0.33267567633774,0.039692974782131026,-1.0594079335742008,-0.19245903564395206,1.0891456470131968,-0.4429141305711982,-0.6168546988722217,0.36453441417884347,0.5114591507159731,-0.6912967922762752,67,67,Lie algebra
68,68,-0.3861692263156758,-0.15335772315743887,-0.14943101025180464,0.6700444314820326,-0.7826576628525531,-0.5678743725096688,0.589270404914037,0.33661834255891376,-0.5006895937342767,-0.01888450155472708,0.5469397852143317,-0.032513999896391824,-0.3412612426527509,0.8556524483313562,0.3702625051177913,-0.2792314184021436,68,68,Boundary conditions
69,69,0.15876952846113981,0.1239363350772804,0.08890361262024554,0.970511609707841,-0.4700314239943448,0.009244324007827986,0.8666418725886874,0.3834813483032127,0.23113672350878767,0.16339137753828747,0.24052698068051517,0.19554467914901247,-0.20178020301933564,1.0259153819506794,0.23855079770017726,0.3802618585290347,69,69,Systems energy and time-evolution
70,70,0.14060321448922627,-0.7206576572829997,-0.2535797687432197,-1.0200139934284636,0.5387398603792392,1.0268342693568242,-0.7434408922981915,-1.2631528936510517,-0.26323475876258773,-0.0038621601027279268,-1.3064535942841669,0.10679112959705017,0.3662023785581815,-0.9568959490052394,-1.1075890054389355,0.9123454320444688,70,70,Heavy quarks and ions 
71,71,0.2767790582590361,0.009619656266947465,0.447430679288991,0.12111739316178005,-0.17780507556644337,-0.039802930773184114,0.1550345331116955,0.02629106250027037,0.028202859612555156,0.0798463616232339,0.05570042130351634,-0.016511088638865235,0.05806440284589449,0.2522819799415215,-0.00017898642269591607,0.1321017043742484,71,71,Phenomenological jargon 
72,72,-0.7841987493925562,-0.3050837561094523,-0.15440304250125436,0.4389359188536217,-1.483135774256894,-1.2617650251145007,0.6358522489428873,0.4390139106772039,-1.257436324454638,-0.1552318092877697,0.7828652716513516,-0.21703906393619887,-0.6218310599478948,0.8787140829234621,0.5343765547107067,-0.58669549488506,72,72,Quantum Field Theory
73,73,0.0004714150086270219,0.08199770377005906,0.09663779487385697,-0.026452465060826116,0.06035493156359203,0.13231531285776532,-0.04787488534592145,-0.08294987318770741,0.020818348936774693,0.10565647643448871,-0.3598384902121486,0.10677111182504155,0.1686757035377876,0.011437662306175512,-0.22529124028010475,0.1962682060669489,73,73,Experimental jargon
74,74,-0.28408165051901285,-0.0005438269539193348,0.15492765882443774,0.18462651267323277,-0.34090664447189295,-0.22066574960457336,0.20428548336479796,0.12626563954470701,-0.18460270667056244,-0.041956977175409804,0.2477753515666803,-0.0038873563247587,-0.047289867237771704,0.2698876505577322,0.13864174644690908,-0.04574235911724836,74,74,Theoretical jargon
