,article_id
550872,1683434
407353,1113852
426848,1253686
232756,634538
748967,513206
179303,527693
610709,1793029
769529,684681
202716,562514
35632,203024
154349,473127
375307,850076
463410,1294919
44894,16071
331545,790883
372869,855718
110483,372382
273302,677328
293358,711429
635450,1477803
632281,1497886
233088,629536
457757,1327708
68305,270702
561277,1648170
68619,267337
423411,1087438
30074,211995
536836,1642241
514246,1501714
714826,453277
67442,268517
43684,219689
58120,250184
488376,1365867
179412,524845
41083,212870
447648,1240524
18492,182648
76444,283703
585706,1767673
769940,685353
533724,1600796
50885,231148
198358,564570
90745,318060
613244,1830605
741659,254493
353424,812459
187202,528332
186011,539344
559523,1693618
634908,1475711
75359,283314
44746,220393
573719,1770439
397356,900509
392378,943790
188415,524218
143421,441432
203509,556344
489837,1392826
376003,841982
590766,1823622
232811,632865
253915,642541
252179,659709
61219,245341
356312,813952
143292,442136
157867,466423
167312,511468
61498,257000
187139,531098
14445,11803
557493,1711795
216599,586932
539009,1516019
674074,1256595
742362,591232
412896,1193767
43693,221086
140511,445130
480885,1380185
84982,302954
312991,741557
796087,1112908
483987,1346984
234530,617626
78202,278071
549072,1693664
352281,824409
748754,514434
352655,819862
741837,599550
61131,245785
52025,238815
398658,883693
58541,247428
679531,808059
561761,1699049
17988,184205
69516,266934
796209,1114515
608927,1811803
97028,333830
418259,1192044
311717,756334
185138,524114
185408,522991
311327,759612
252738,654275
744929,503786
325319,801488
115423,398843
392265,1079243
314618,752071
492956,1410920
490257,1385119
270134,695312
273494,674922
489610,1397647
172541,495776
398157,890620
790660,1682786
233450,628949
664029,1291676
203543,556065
22918,191177
39699,213010
128364,423658
155743,482965
418620,1205198
254045,674868
43874,16890
140010,448466
538854,1590178
431735,1227630
23028,191112
468228,1318496
400459,1079453
442740,1254233
96513,341526
86926,295681
265419,678290
586354,1749312
527331,1616729
529367,1518384
254834,664936
16585,177719
475635,1377736
637645,1412216
767924,614795
33923,205790
318534,805246
746891,561865
253173,650888
526027,1608638
665699,1208725
89091,318798
797065,1112318
436767,1236907
215524,600034
742205,596577
86884,295849
368448,856179
354731,830839
579704,1729537
528741,1620515
274604,693503
98001,334773
236945,619155
373415,861787
579326,1736538
397825,891499
712537,424320
351649,831361
793690,1625693
368027,865070
493426,1356306
470426,1315851
255265,656930
130683,421911
551114,1664308
11859,165192
398603,885887
183947,531088
418566,1090066
708394,447261
504745,1487276
325001,789961
143515,440191
382773,923081
149031,486603
255004,661017
354651,834434
509260,1416635
428436,1244054
267313,699757
96849,336588
141937,453864
600397,1815441
555057,1672276
334239,792379
204036,553268
580837,1765512
128596,421195
203013,559598
32407,206271
107203,381322
23086,189259
747603,563674
275199,682516
292508,713716
506348,1477831
55633,246693
274953,686622
220233,582971
418524,1092740
55310,248169
32263,206534
558159,1645675
204068,553536
44869,222337
46880,230789
593289,1799626
435191,1268157
64450,263851
377177,858057
656269,1373397
286015,711082
535041,1511880
143784,440046
74888,288911
482424,1382345
170036,496240
390028,897548
220352,582102
15418,176719
57519,248409
619979,927684
561828,1696822
325146,784045
417654,1190655
413049,1188004
584802,1769255
455962,1279758
76680,277652
558875,1702158
153900,475993
199011,566381
585455,1717483
606379,1777129
47589,228142
537955,1628144
254305,643317
447858,1233728
744449,508653
708095,449365
436475,1227800
143787,439588
526124,1644358
605616,1834647
25698,190830
61225,248767
781977,1795980
745119,505712
140987,442685
68356,269859
347126,859083
739821,244893
346043,811153
211234,600614
15094,179508
469785,1276124
512331,1487305
183929,531141
391810,895173
458626,1298029
330447,806427
312970,757526
373954,871033
329621,790127
747672,563970
43112,217315
502866,1499767
61294,256445
652479,1458187
770403,646258
585155,1723897
220151,584511
41904,219908
742622,594297
664756,1299671
398958,945656
234390,617468
413420,1123793
777186,1093756
432450,1224198
314648,749741
470123,1326008
5827,161471
291926,722230
291809,720873
752475,530867
142988,443320
761124,697878
585469,1717217
579209,1770477
202373,564123
84164,302593
235238,622668
638618,1484600
609272,1826263
170771,511225
69680,270581
110174,37909
255190,656923
58883,252296
508379,1463279
85521,295584
543288,1683144
345807,824953
187651,525876
103879,356836
400032,893997
55497,245077
201512,563125
533515,1643281
327547,793496
65800,23457
33140,203748
35128,210482
633728,1408295
435027,1239888
65696,264669
86370,299917
535857,1613329
120234,401634
1154,159094
23052,189369
459636,1311327
375155,850943
596973,1836833
26135,193119
480229,1393525
311913,752705
524060,1638309
397667,897687
708593,446053
293075,736512
85826,302364
249063,647794
372111,872062
117537,402156
359373,874621
13105,171814
310767,768267
18631,12656
784027,1719169
491865,1336361
575217,1743799
118938,396281
560433,1671103
697094,855100
355022,829234
49105,233750
141411,441580
461385,1298421
667814,1210886
89007,321377
436435,1229334
525723,1622513
626255,763586
314420,755737
50622,18708
397647,896921
255322,654661
353933,833964
393113,917963
625887,768423
656056,1370153
413080,1186557
186866,531533
12809,10987
351368,834745
214469,599456
55044,252230
19757,185050
154426,473613
712513,424708
672637,1221751
201701,559228
155859,481905
216526,589485
485638,1373290
106908,381777
707921,449019
78377,25160
187860,525140
510477,1497761
314202,760299
335598,777958
652841,1396161
661561,1325567
239723,658452
332108,785074
172217,497951
688825,834830
560134,1676416
291867,722722
490963,1365313
377415,851927
376366,877497
515834,1427448
168326,508780
275917,674935
106942,378075
236039,630133
520830,1607216
376673,872236
50662,230954
450343,1323052
610991,1785957
252339,655697
389485,890697
