,topic,word,unithood,p,x
0,0,propagator,0.6931471805599453,0.026091769337654114,0.01808543635221538
1,0,expansion,0.6931471805599453,0.023429565131664276,0.016240137012758695
2,0,lattice,0.6931471805599453,0.021275995299220085,0.014747396155261052
3,0,gluon,0.6931471805599453,0.020388593897223473,0.014132296375442157
4,0,effective,0.6931471805599453,0.020388593897223473,0.014132296375442157
5,0,finite,0.6931471805599453,0.020291196182370186,0.014064785423998619
6,0,loop,0.6931471805599453,0.019598590210080147,0.0135847075470668
7,0,theory,0.6931471805599453,0.019079135730862617,0.013224649139367934
8,0,potential,0.6931471805599453,0.017769677564501762,0.012317001903293712
9,0,qcd,0.6931471805599453,0.017607348039746284,0.012204483650887816
10,0,numerical,0.6931471805599453,0.013971167616546154,0.009684075442539377
11,0,gauge,0.6931471805599453,0.01298636943101883,0.009001465356820563
12,0,perturbative,0.6931471805599453,0.012553490698337555,0.008701416683738175
13,0,method,0.6931471805599453,0.012434449046850204,0.008618903298640518
14,0,regularization,0.6931471805599453,0.012369517236948013,0.00857389599767816
100,1,meson,0.6931471805599453,0.09560251981019974,0.06626661706086627
101,1,state,0.6931471805599453,0.044766176491975784,0.031029549019861918
102,1,resonance,0.6931471805599453,0.03322737663984299,0.023031462435310554
103,1,vector,0.6931471805599453,0.03138991817831993,0.021757833283309835
104,1,decay,0.6931471805599453,0.025965044274926186,0.017997597232279235
105,1,mass,0.6931471805599453,0.024838507175445557,0.017216741217978056
106,1,width,0.6931471805599453,0.01932613179087639,0.013395853761975895
107,1,mev,0.6931471805599453,0.019315194338560104,0.013388272497740354
108,1,pseudoscalar,0.6931471805599453,0.018144909292459488,0.012577092717584245
109,1,pion,0.6931471805599453,0.015727777034044266,0.010901664307623241
110,1,amplitude,0.6931471805599453,0.013999691233038902,0.0097038465068907
111,1,experimental,0.6931471805599453,0.01395594235509634,0.009673522095492151
112,1,channel,0.6931471805599453,0.0138793820515275,0.009620454536930596
113,1,quark,0.6931471805599453,0.01254503708332777,0.008695557084328603
114,1,wave,0.6931471805599453,0.012085672467947006,0.008377149796328424
200,2,theory,0.6931471805599453,0.09312604367733002,0.06455005461164362
201,2,gauge,0.6931471805599453,0.053325995802879333,0.03696276364131729
202,2,duality,0.6931471805599453,0.02649393118917942,0.018364193705728914
203,2,supergravity,0.6931471805599453,0.02529350481927395,0.017532121551959125
204,2,string,0.6931471805599453,0.022605227306485176,0.015668749573406887
205,2,dual,0.6931471805599453,0.019950762391090393,0.0138288147014057
206,2,action,0.6931471805599453,0.019697152078151703,0.01365302542803132
207,2,dimensional,0.6931471805599453,0.019375910982489586,0.013430358068293137
208,2,type,0.6931471805599453,0.01602824404835701,0.011109932171445385
209,2,background,0.6931471805599453,0.015926798805594444,0.011039615687443292
210,2,m-theory,0.6931471805599453,0.015707002952694893,0.0108872648117072
211,2,reduction,0.6931471805599453,0.014455853961408138,0.010020034415936368
212,2,dimension,0.6931471805599453,0.014185335487127304,0.00983252529819923
213,2,abelian,0.6931471805599453,0.014066983945667744,0.009750490260921611
214,2,field,0.6931471805599453,0.01393172424286604,0.009656735379281233
300,3,cp,0.6931471805599453,0.07650026679039001,0.05302594423784245
301,3,violation,0.6931471805599453,0.06875572353601456,0.04765783591634756
302,3,asymmetry,0.6931471805599453,0.043533071875572205,0.030174826031666324
303,3,mixing,0.6931471805599453,0.04298291355371475,0.02979348534200924
304,3,matrix,0.6931471805599453,0.03387003019452095,0.023476915934812412
305,3,lepton,0.6931471805599453,0.031683504581451416,0.02196133187089116
310,3,cp violation,1.0986122886681098,0.018042393028736115,0.01982159469834933
306,3,flavor,0.6931471805599453,0.024362163618206978,0.01688656502430024
313,3,standard model,1.0986122886681098,0.014783761464059353,0.01624162201715365
307,3,model,0.6931471805599453,0.02275400608778,0.015771875166188536
308,3,quark,0.6931471805599453,0.021949928253889084,0.0152145308826763
309,3,phase,0.6931471805599453,0.021611370146274567,0.014979860284927588
311,3,standard,0.6931471805599453,0.015446772798895836,0.010706887014304703
312,3,angle,0.6931471805599453,0.014995360746979713,0.010393992023248264
314,3,mass,0.6931471805599453,0.012964006513357162,0.008985964563494283
400,4,qcd,0.6931471805599453,0.058303799480199814,0.0404131142256329
401,4,distribution,0.6931471805599453,0.03439287468791008,0.02383932412127638
402,4,parton,0.6931471805599453,0.03284766525030136,0.022768266556223278
412,4,next-to-leading order,1.0986122886681098,0.019816929474473,0.021771122244325303
403,4,order,0.6931471805599453,0.028180178254842758,0.019533011105020936
404,4,function,0.6931471805599453,0.028164247050881386,0.019521968435912185
405,4,nlo,0.6931471805599453,0.027781927958130836,0.01925696503469791
406,4,gluon,0.6931471805599453,0.026443807408213615,0.018329450548273462
407,4,jet,0.6931471805599453,0.02386314980685711,0.016540675007902607
408,4,next-to-leading,0.6931471805599453,0.023608269169926643,0.016364005213034934
409,4,correction,0.6931471805599453,0.023448968306183815,0.016253586268470826
410,4,transverse,0.6931471805599453,0.0222542192786932,0.015425449348588971
411,4,momentum,0.6931471805599453,0.02126655913889408,0.01474085550733577
413,4,calculation,0.6931471805599453,0.01881333999335766,0.01304041357331152
414,4,perturbative,0.6931471805599453,0.015866290777921677,0.010997674718660672
500,5,correction,0.6931471805599453,0.12400341778993607,0.08595261942089115
501,5,order,0.6931471805599453,0.0691862404346466,0.047956247490817776
502,5,one-loop,0.6931471805599453,0.02738303318619728,0.01898047224819206
503,5,term,0.6931471805599453,0.025056371465325356,0.017367753236252934
504,5,contribution,0.6931471805599453,0.024174286052584648,0.016756338219398658
