bai,0
0000-0002-0633-1260,Phenomenology-HEP
0000-0002-0722-7692,Experiment-HEP
0000-0002-0772-7312,Experiment-HEP
0000-0002-0865-5891,Experiment-HEP
0000-0002-0917-3835,Theory-HEP
0000-0002-0966-0211,Experiment-HEP
0000-0002-1002-1652,Experiment-HEP
0000-0002-1127-5144,Phenomenology-HEP
0000-0002-1152-2221,Experiment-HEP
0000-0002-1152-7372,Experiment-HEP
0000-0002-1295-1538,Experiment-HEP
0000-0002-1344-8723,Experiment-HEP
0000-0002-1433-2140,Experiment-HEP
0000-0002-1452-9824,Experiment-HEP
0000-0002-1479-2112,Experiment-HEP
0000-0002-1501-5569,Experiment-HEP
0000-0002-1590-2352,Experiment-HEP
0000-0002-1626-6255,Experiment-HEP
0000-0002-1646-0621,Experiment-HEP
0000-0002-1687-4314,Experiment-HEP
0000-0002-1739-6596,Experiment-HEP
0000-0002-1753-5621,Experiment-HEP
0000-0002-1824-034X,Experiment-HEP
0000-0002-1827-9201,Experiment-HEP
0000-0002-1904-6661,Phenomenology-HEP
0000-0002-1928-1717,Experiment-HEP
0000-0002-1986-5720,Experiment-HEP
0000-0002-2081-0129,Experiment-HEP
0000-0002-2204-5731,Experiment-HEP
0000-0002-2205-4419,Experiment-HEP
0000-0002-2220-4974,Phenomenology-HEP
0000-0002-2253-4164,Phenomenology-HEP
0000-0002-2426-7776,Phenomenology-HEP
0000-0002-2438-3785,Experiment-HEP
0000-0002-2489-2598,Experiment-HEP
0000-0002-2509-0132,Experiment-HEP
0000-0002-2562-0930,Experiment-HEP
0000-0002-2567-7857,Experiment-HEP
0000-0002-2585-3793,Experiment-HEP
0000-0002-2657-3099,Experiment-HEP
0000-0002-2858-9182,Experiment-HEP
0000-0002-2984-8174,Experiment-HEP
0000-0002-3047-3146,Experiment-HEP
0000-0002-3129-828X,Phenomenology-HEP
0000-0002-3150-3124,Experiment-HEP
0000-0002-3195-8903,Experiment-HEP
0000-0002-3207-9783,Experiment-HEP
0000-0002-3271-7861,Experiment-HEP
0000-0002-3341-8396,Phenomenology-HEP
0000-0002-3407-0918,Experiment-HEP
0000-0002-3427-6537,Experiment-HEP
0000-0002-3430-8746,Experiment-HEP
0000-0002-3451-2237,Experiment-HEP
0000-0002-3455-7208,Experiment-HEP
0000-0002-3479-2910,Phenomenology-HEP
0000-0002-3523-390X,Experiment-HEP
0000-0002-3533-3847,Experiment-HEP
0000-0002-3576-7004,Experiment-HEP
0000-0002-3596-6572,Experiment-HEP
0000-0002-3652-6683,Experiment-HEP
0000-0002-3664-2465,Experiment-HEP
0000-0002-3670-6908,Experiment-HEP
0000-0002-3676-493X,Experiment-HEP
0000-0002-3780-1755,Experiment-HEP
0000-0002-3802-8944,Experiment-HEP
0000-0002-3819-2453,Experiment-HEP
0000-0002-3824-409X,Experiment-HEP
0000-0002-3961-5016,Experiment-HEP
0000-0002-3971-9595,Experiment-HEP
0000-0002-3996-4662,Experiment-HEP
0000-0002-4055-218X,Experiment-HEP
0000-0002-4067-2472,Experiment-HEP
0000-0002-4129-5736,Experiment-HEP
0000-0002-4139-9543,Experiment-HEP
0000-0002-4172-7965,Experiment-HEP
0000-0002-4203-014X,Experiment-HEP
0000-0002-4233-7563,Experiment-HEP
0000-0002-4259-018X,Experiment-HEP
0000-0002-4326-9742,Experiment-HEP
0000-0002-4357-7649,Experiment-HEP
0000-0002-4376-4911,Experiment-HEP
0000-0002-4466-3864,Experiment-HEP
0000-0002-4512-1645,Experiment-HEP
0000-0002-4516-5269,Phenomenology-HEP
0000-0002-4568-5360,Experiment-HEP
0000-0002-4580-2475,Experiment-HEP
0000-0002-4630-9914,Experiment-HEP
0000-0002-4679-6767,Experiment-HEP
0000-0002-4690-0528,Experiment-HEP
0000-0002-4703-000X,Experiment-HEP
0000-0002-4731-6120,Experiment-HEP
0000-0002-4876-5200,Experiment-HEP
0000-0002-4886-9851,Experiment-HEP
0000-0002-4996-1924,Experiment-HEP
0000-0002-5010-8613,Experiment-HEP
0000-0002-5080-2293,Phenomenology-HEP
0000-0002-5094-5067,Experiment-HEP
0000-0002-5144-9655,Phenomenology-HEP
0000-0002-5205-4065,Experiment-HEP
0000-0002-5246-5497,Experiment-HEP
0000-0002-5320-7043,Experiment-HEP
0000-0002-5526-0809,Phenomenology-HEP
0000-0002-5543-0716,Phenomenology-HEP
0000-0002-5575-6476,Experiment-HEP
0000-0002-5606-4164,Experiment-HEP
0000-0002-5646-1856,Experiment-HEP
0000-0002-5713-3803,Experiment-HEP
0000-0002-5719-7655,Experiment-HEP
0000-0002-5749-3876,Experiment-HEP
0000-0002-5756-4558,Experiment-HEP
0000-0002-5783-3551,Experiment-HEP
0000-0002-5809-9424,Experiment-HEP
0000-0002-5895-6799,Experiment-HEP
0000-0002-5924-3803,Experiment-HEP
0000-0002-5942-812X,Experiment-HEP
0000-0002-5986-3842,Experiment-HEP
0000-0002-6033-944X,Experiment-HEP
0000-0002-6075-0191,Experiment-HEP
0000-0002-6076-4083,Phenomenology-HEP
0000-0002-6248-953X,Experiment-HEP
0000-0002-6251-1178,Experiment-HEP
0000-0002-6324-8551,Experiment-HEP
0000-0002-6477-764X,Experiment-HEP
0000-0002-6493-7295,Phenomenology-HEP
0000-0002-6620-6277,Experiment-HEP
0000-0002-6647-1433,Experiment-HEP
0000-0002-6653-1555,Experiment-HEP
0000-0002-6659-8506,Experiment-HEP
0000-0002-6678-7665,Experiment-HEP
0000-0002-6701-8198,Experiment-HEP
0000-0002-6706-3458,Phenomenology-HEP
0000-0002-6758-0113,Experiment-HEP
0000-0002-6762-2213,Experiment-HEP
0000-0002-6784-7447,Phenomenology-HEP
0000-0002-6885-282X,Experiment-HEP
0000-0002-6888-9462,Experiment-HEP
0000-0002-6890-1601,Experiment-HEP
0000-0002-6940-261X,Experiment-HEP
0000-0002-6965-7380,Experiment-HEP
0000-0002-6978-5964,Experiment-HEP
0000-0002-7026-1412,Experiment-HEP
0000-0002-7139-8197,Experiment-HEP
0000-0002-7213-3844,Experiment-HEP
0000-0002-7282-1786,Phenomenology-HEP
0000-0002-7289-1186,Experiment-HEP
0000-0002-7342-3130,Experiment-HEP
0000-0002-7374-2334,Experiment-HEP
0000-0002-7380-6123,Phenomenology-HEP
0000-0002-7394-2408,Experiment-HEP
0000-0002-7402-369X,Experiment-HEP
0000-0002-7561-204X,Experiment-HEP
0000-0002-7643-2198,Experiment-HEP
0000-0002-7666-7544,Experiment-HEP
0000-0002-7710-4073,Experiment-HEP
0000-0002-7736-2806,Experiment-HEP
0000-0002-7815-3379,Theory-HEP
0000-0002-7850-5901,Phenomenology-HEP
0000-0002-7854-3174,Experiment-HEP
0000-0002-7926-7650,Experiment-HEP
0000-0002-7969-0301,Experiment-HEP
0000-0002-7986-9045,Experiment-HEP
0000-0002-8006-6776,Phenomenology-HEP
0000-0002-8019-5463,Phenomenology-HEP
0000-0002-8023-6448,Experiment-HEP
0000-0002-8057-9467,Experiment-HEP
0000-0002-8104-7227,Experiment-HEP
0000-0002-8194-1050,Experiment-HEP
0000-0002-8268-8325,Experiment-HEP
0000-0002-8290-0517,Phenomenology-HEP
0000-0002-8304-9170,Experiment-HEP
0000-0002-8438-7753,Experiment-HEP
0000-0002-8444-8827,Experiment-HEP
0000-0002-8485-3734,Experiment-HEP
0000-0002-8487-8480,Experiment-HEP
0000-0002-8600-9799,Experiment-HEP
0000-0002-8604-3452,Phenomenology-HEP
0000-0002-8719-4682,Experiment-HEP
0000-0002-8785-7378,Experiment-HEP
0000-0002-8814-1670,Experiment-HEP
0000-0002-8832-5488,Phenomenology-HEP
0000-0002-8846-2714,Experiment-HEP
0000-0002-9045-3278,Experiment-HEP
0000-0002-9056-754X,Phenomenology-HEP
0000-0002-9074-2133,Experiment-HEP
0000-0002-9313-7019,Experiment-HEP
0000-0002-9362-3973,Experiment-HEP
0000-0002-9417-8613,Experiment-HEP
0000-0002-9488-6118,Phenomenology-HEP
0000-0002-9726-6707,Experiment-HEP
0000-0002-9734-9967,Phenomenology-HEP
0000-0002-9766-2670,Experiment-HEP
0000-0002-9775-7303,Experiment-HEP
0000-0002-9860-9185,Experiment-HEP
0000-0003-0056-6613,Experiment-HEP
0000-0003-0079-8924,Experiment-HEP
0000-0003-0320-4407,Phenomenology-HEP
0000-0003-0374-1595,Experiment-HEP
0000-0003-0419-2970,Theory-HEP
0000-0003-0434-6925,Experiment-HEP
0000-0003-0466-4472,Experiment-HEP
0000-0003-0494-6728,Experiment-HEP
0000-0003-0562-4616,Experiment-HEP
0000-0003-0664-1653,Phenomenology-HEP
0000-0003-0707-7046,Experiment-HEP
0000-0003-0731-710X,Experiment-HEP
0000-0003-0748-8494,Phenomenology-HEP
0000-0003-0766-5307,Experiment-HEP
0000-0003-0848-329X,Experiment-HEP
0000-0003-0989-5675,Experiment-HEP
0000-0003-0999-5019,Phenomenology-HEP
0000-0003-1025-3741,Experiment-HEP
0000-0003-1052-7925,Experiment-HEP
0000-0003-1189-3505,Experiment-HEP
0000-0003-1216-5235,Phenomenology-HEP
0000-0003-1281-0193,Experiment-HEP
0000-0003-1344-3356,Experiment-HEP
0000-0003-1366-5530,Experiment-HEP
0000-0003-1401-5900,Experiment-HEP
0000-0003-1418-2012,Experiment-HEP
0000-0003-1420-4955,Experiment-HEP
0000-0003-1437-6108,Experiment-HEP
0000-0003-1450-0009,Experiment-HEP
0000-0003-1492-5007,Experiment-HEP
0000-0003-1526-5848,Experiment-HEP
0000-0003-1586-5253,Experiment-HEP
0000-0003-1623-3899,Experiment-HEP
0000-0003-1644-7678,Phenomenology-HEP
0000-0003-1665-9814,Phenomenology-HEP
0000-0003-1675-6040,Phenomenology-HEP
0000-0003-1693-5946,Experiment-HEP
0000-0003-1710-6306,Experiment-HEP
0000-0003-1746-1914,Experiment-HEP
0000-0003-1826-2749,Experiment-HEP
0000-0003-1882-5572,Experiment-HEP
0000-0003-1943-5883,Experiment-HEP
0000-0003-1995-9185,Experiment-HEP
0000-0003-2052-2386,Experiment-HEP
0000-0003-2135-9971,Experiment-HEP
0000-0003-2174-807X,Experiment-HEP
0000-0003-2260-9151,Phenomenology-HEP
0000-0003-2302-8754,Experiment-HEP
0000-0003-2328-1952,Experiment-HEP
0000-0003-2329-4219,Experiment-HEP
0000-0003-2340-748X,Experiment-HEP
0000-0003-2482-711X,Experiment-HEP
0000-0003-2499-1649,Experiment-HEP
0000-0003-2711-8984,Phenomenology-HEP
0000-0003-2751-3474,Experiment-HEP
0000-0003-2781-2933,Experiment-HEP
0000-0003-2799-6672,Experiment-HEP
0000-0003-2827-2449,Experiment-HEP
0000-0003-2848-0184,Experiment-HEP
0000-0003-2872-7116,Experiment-HEP
0000-0003-2882-9796,Experiment-HEP
0000-0003-2966-6036,Experiment-HEP
0000-0003-3024-587X,Experiment-HEP
0000-0003-3049-9976,Experiment-HEP
0000-0003-3143-6213,Phenomenology-HEP
0000-0003-3211-067X,Experiment-HEP
0000-0003-3264-548X,Experiment-HEP
0000-0003-3321-8412,Experiment-HEP
0000-0003-3348-0234,Experiment-HEP
0000-0003-3453-6156,Experiment-HEP
0000-0003-3542-7242,Experiment-HEP
0000-0003-3591-047X,Phenomenology-HEP
0000-0003-3614-026X,Experiment-HEP
0000-0003-3620-1149,Experiment-HEP
0000-0003-3681-1588,Experiment-HEP
0000-0003-3705-7898,Experiment-HEP
0000-0003-3759-0588,Experiment-HEP
0000-0003-3837-4166,Experiment-HEP
0000-0003-3984-6452,Experiment-HEP
0000-0003-3993-4903,Experiment-HEP
0000-0003-4004-5265,Experiment-HEP
0000-0003-4021-6482,Experiment-HEP
0000-0003-4032-0079,Experiment-HEP
0000-0003-4079-6368,Phenomenology-HEP
0000-0003-4189-2837,Experiment-HEP
0000-0003-4222-8284,Experiment-HEP
0000-0003-4241-7405,Experiment-HEP
0000-0003-4401-8336,Phenomenology-HEP
0000-0003-4431-8400,Experiment-HEP
0000-0003-4435-4962,Experiment-HEP
0000-0003-4452-620X,Experiment-HEP
0000-0003-4481-3639,Phenomenology-HEP
0000-0003-4515-5789,Phenomenology-HEP
0000-0003-4543-6599,Experiment-HEP
0000-0003-4577-0685,Experiment-HEP
0000-0003-4622-6091,Experiment-HEP
0000-0003-4656-3936,Experiment-HEP
0000-0003-4675-7810,Experiment-HEP
0000-0003-4688-4174,Experiment-HEP
0000-0003-4731-0754,Experiment-HEP
0000-0003-4782-4034,Experiment-HEP
A.A.A.Sukhanov.1,Experiment-HEP
A.A.Abdelalim.1,Experiment-HEP
A.A.Abdo.1,Phenomenology-HEP
A.A.Abolhasani.1,Theory-HEP
A.A.Abrikosov.1,Theory-HEP
A.A.Affolder.1,Experiment-HEP
A.A.Aguilar.Arevalo.1,Experiment-HEP
A.A.Akhundov.1,Phenomenology-HEP
A.A.Almasy.1,Phenomenology-HEP
A.A.Alshehri.1,Experiment-HEP
A.A.Alves.1,Experiment-HEP
A.A.Alves.Jr.1,Experiment-HEP
A.A.Andam.1,Experiment-HEP
A.A.Andrianov.1,Phenomenology-HEP
A.A.Angerami.1,Phenomenology-HEP
A.A.Anselm.1,Phenomenology-HEP
A.A.Antonov.1,Theory-HEP
A.A.Anuar.1,Experiment-HEP
A.A.Aparin.1,Experiment-HEP
A.A.Arakelian.1,Phenomenology-HEP
A.A.Araujo.Filho.2,Theory-HEP
A.A.Arkhipov.1,Theory-HEP
A.A.Atanasov.1,Phenomenology-HEP
A.A.Babich.1,Phenomenology-HEP
A.A.Bagaev.1,Theory-HEP
A.A.Bagneid.1,Phenomenology-HEP
A.A.Bagrov.1,Theory-HEP
A.A.Bairamov.1,Experiment-HEP
A.A.Baranov.1,Experiment-HEP
A.A.Barrientos.Bendezu.1,Phenomenology-HEP
A.A.Bassill.1,Experiment-HEP
A.A.Bassill.3,Experiment-HEP
A.A.Bassill.4,Experiment-HEP
A.A.Bassill.5,Experiment-HEP
A.A.Batalov.1,Experiment-HEP
A.A.Baykov.1,Experiment-HEP
A.A.Bayramov.1,Experiment-HEP
A.A.Belavin.1,Theory-HEP
A.A.Belkov.1,Experiment-HEP
A.A.Belkov.2,Phenomenology-HEP
A.A.Belyaev.6,Experiment-HEP
A.A.Bergamini.Machado.1,Experiment-HEP
A.A.Bhatti.1,Experiment-HEP
A.A.Bichl.1,Theory-HEP
