ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
standard model,2862,0.13903287066850012,216664812.23567295,2862,0.13903287066850012,216664812.23567295
final state,2571,0.12489640478291887,195385981.25293443,2571,0.12489640478291887,195385981.25293443
upper limit,2531,0.12295324796015857,192452944.7880406,2531,0.12295324796015857,192452944.7880406
proton-proton collision,1461,0.07097380295132029,112647337.82856528,1461,0.07097380295132029,112647337.82856528
integrated luminosity,1288,0.06256964969288195,99535708.60583544,1288,0.06256964969288195,99535708.60583544
large hadron collider,801,0.049101117986161055,62287571.853664495,801,0.049101117986161055,62287571.853664495
centre-of-mass energy,904,0.043915344194382984,70205646.78310964,904,0.043915344194382984,70205646.78310964
differential cross section,703,0.04309374025502026,54737941.39912913,703,0.04309374025502026,54737941.39912913
pp collision,872,0.04236081873617474,67748418.85934706,872,0.04236081873617474,67748418.85934706
first time,838,0.04070913543682848,65139390.19140636,838,0.04070913543682848,65139390.19140636
invariant mass,824,0.04002903054886237,64060082.74906884,824,0.04002903054886237,64060082.74906884
top quark,819,0.03978613594601733,63674021.39099376,819,0.03978613594601733,63674021.39099376
large hadron,818,0.039737557025448324,63595751.845852576,818,0.039737557025448324,63595751.845852576
center-of-mass energy,747,0.03628845366504878,58130354.57676527,747,0.03628845366504878,58130354.57676527
differential cross,710,0.03449103360399548,55278055.398568116,710,0.03449103360399548,55278055.398568116
dark matter,688,0.033422297351477316,53582519.02471319,688,0.033422297351477316,53582519.02471319
good agreement,614,0.029827457229370743,47863850.249794036,614,0.029827457229370743,47863850.249794036
standard model prediction,483,0.029607790246336817,37712998.60225492,483,0.029607790246336817,37712998.60225492
new physic,581,0.02822435285059349,45310260.33372734,581,0.02822435285059349,45310260.33372734
first measurement,544,0.026426932789540204,42445912.15878531,544,0.026426932789540204,42445912.15878531
higgs boson,538,0.02613545926612616,41977907.139828235,538,0.02613545926612616,41977907.139828235
high energy,526,0.025552512219298065,41051870.28592724,526,0.025552512219298065,41051870.28592724
standard model expectation,404,0.024765108197764132,31576014.67235345,404,0.024765108197764132,31576014.67235345
transverse momentum,472,0.02292925050857165,36860968.32819599,472,0.02292925050857165,36860968.32819599
recent result,469,0.022783513746864627,36630138.08660496,469,0.022783513746864627,36630138.08660496
standard deviation,468,0.022734934826295617,36550502.302350655,468,0.022734934826295617,36550502.302350655
angular distribution,456,0.022151987779467527,35620014.13960815,456,0.022151987779467527,35620014.13960815
lower limit,454,0.02205482993832951,35463296.34075984,454,0.02205482993832951,35463296.34075984
proton-proton collision data,337,0.020658023422392358,26361672.7622697,337,0.020658023422392358,26361672.7622697
first observation,423,0.02054888340069027,33056278.190760396,423,0.02054888340069027,33056278.190760396
precise measurement,419,0.02035456771841424,32745328.113371667,419,0.02035456771841424,32745328.113371667
systematic uncertainty,418,0.02030598879784523,32667134.16917709,418,0.02030598879784523,32667134.16917709
preliminary result,411,0.019965936353862176,32123772.09810041,411,0.019965936353862176,32123772.09810041
s * *,316,0.019370728194290754,24726783.433865286,316,0.019370728194290754,24726783.433865286
cp violation,381,0.018508568736791943,29790248.211759694,381,0.018508568736791943,29790248.211759694
hadronic decay,367,0.017828463848825835,28699812.29565978,367,0.017828463848825835,28699812.29565978
new measurement,358,0.017391253563704766,28000106.099366795,358,0.017391253563704766,28000106.099366795
