,article_id
128972,420175
46968,231083
422174,1198037
704067,466191
5400,155139
507447,1487534
42471,17319
506912,1414216
183988,530921
142757,453859
587556,1765559
514566,1497532
446913,1216299
49684,18377
790264,1614573
499491,1449887
109290,379387
586162,1755691
468357,1313601
152730,478149
393988,865047
353327,814191
185991,539131
60746,248128
333170,798678
415294,1203441
188011,524815
774398,622240
390574,916712
597971,1836154
104624,352466
81377,300303
622569,792358
559302,1693543
747225,564205
442981,1218378
421972,1197581
167789,512369
330946,800439
487113,1402303
304889,745138
68873,264966
586212,1753602
295254,738702
34661,204780
537481,1507900
199923,559776
634251,1473840
128855,420275
50988,228058
172769,940717
61351,249185
791430,1645830
712377,428436
37732,218751
538313,1611126
545751,1663270
10654,167919
51381,227608
486303,1347260
604628,1805520
76122,287194
610761,1791668
417755,1188819
80445,305861
118583,400908
783961,1714935
167978,512800
581687,1768908
198530,552004
355150,825508
90899,316197
373802,873167
708487,446801
293327,719335
183460,534842
313301,748041
522922,1515356
106939,382409
760977,690218
273434,689930
313239,742127
579329,1736523
624875,773270
295353,708804
236372,626553
248814,651656
129044,418917
64463,264848
5845,158937
393102,920550
292715,713087
377714,845760
96517,340801
493704,1340722
332009,787371
77554,26483
446358,1220811
81774,294901
504630,1492100
216470,589070
718405,377165
752340,539368
425473,1263329
397084,916699
292020,719489
708063,449242
139984,447917
285033,729101
183125,538664
325134,786406
696981,855715
256368,643346
200390,556235
272411,684959
140823,444545
685670,882938
118215,401585
328276,779253
292098,720054
215347,601241
664128,1298399
84219,28305
469373,1285749
86859,27301
514326,1414962
465491,1334143
38903,217810
169402,501976
468934,1297937
526887,1639443
467526,1284985
183102,538857
216722,587093
492030,1406970
294258,720802
471125,1333880
389621,1081108
286535,720527
374897,853863
271422,696337
531800,1518388
591849,1809858
408334,1111635
527421,1611680
41845,227676
154107,475576
104525,352702
490330,1382964
49726,229799
312920,761729
110968,381697
355045,829595
402343,1202797
397278,914195
584820,1769203
603945,1817087
767657,611582
154550,471694
391421,898840
28509,194132
291832,721362
30787,206650
420305,1120770
127905,426347
23116,188917
367874,876534
520648,1608349
445432,1242018
610857,1787858
290828,732745
234921,614061
154262,472686
469657,1278205
199087,567102
170710,512812
491843,1338096
52218,235194
343705,812144
398201,889446
505100,1471838
275383,680491
236362,630033
467941,1335823
268400,682782
584649,1733844
543866,1679429
629525,1122237
128304,423921
35686,14860
253436,647852
743739,507761
584873,1729754
290164,730316
43473,217030
294730,714005
584798,1770152
219585,586543
478698,1340657
663498,1353675
513441,1454231
310260,750573
711190,429298
783361,1760419
84278,297004
98025,333193
468327,1315441
164191,495645
290748,732941
583482,1757746
184698,525815
408139,1207526
418876,1125669
311373,759620
530428,1621252
561232,1649986
152816,472472
480968,1376124
747092,568260
490341,1382801
493239,1365321
711,156355
49008,227836
346237,811398
180845,565131
526251,1601511
594008,1790732
419924,1188298
548226,1663969
35875,199601
615074,901661
536705,1591539
623126,707866
536648,1593781
170631,494436
452008,1307231
558429,1696742
163989,505170
583688,1755452
154517,472202
310139,761327
574563,1768404
586531,1742651
218931,593207
755689,559837
120286,401642
86375,299271
702686,474687
139628,451345
791476,1647308
30371,15597
72601,278705
412092,1114321
248801,652496
141467,440618
376267,875471
707881,449115
293693,730869
292445,715436
389031,1081647
613044,1779710
399285,924004
9716,170656
609443,1819266
562965,1656021
184714,526195
467432,1288532
10957,166297
77423,284240
19261,176557
470121,1326428
292804,713006
488105,1352830
275975,674615
289866,726764
523960,1639237
459587,1312762
304425,746026
313571,769200
354675,833931
141483,440349
183146,536825
94929,334790
563119,1650429
38861,218668
694880,741545
412227,1111234
30839,203150
611653,1831365
204118,552957
252396,655696
393326,902082
459522,1317233
217540,593133
393997,876551
683887,811163
47135,229107
396930,920202
103919,356918
273122,678955
274790,688954
374983,853261
313170,765450
331674,791759
480947,1414161
512226,1489210
389154,928315
669125,1287485
59000,22649
437041,1266254
168654,506251
204435,557222
390291,939557
312642,747064
215447,598694
635287,1473347
184540,527470
766062,668306
72738,283836
541313,1702655
30454,15366
112150,372938
584693,1732528
47287,236693
18079,181398
677040,1589363
29815,199813
237190,617633
637085,1418836
77907,280086
562763,1666043
234427,617630
81526,296670
466684,1312797
267668,694418
459085,1278492
43988,16790
440080,1247450
211363,589851
201563,570927
462282,1335679
66973,262797
153795,477562
85905,302378
172946,494834
362874,857250
497903,1503355
543420,1708921
684072,814621
419805,1185421
547397,1703202
353816,831196
468570,1309450
51414,238318
446376,1220581
538391,1597631
510636,1469076
4196,155914
273526,699378
512144,1492334
536123,1606148
14467,184776
13105,171814
234254,619556
47559,18371
32401,207449
469255,1333415
537388,1641285
772143,634398
217288,583233
536484,1599406
505606,1495277
389829,892489
374809,856123
392866,921573
11685,166342
470538,1335165
38830,219515
44436,228866
650802,1422131
245755,945349
140465,445125
293759,733143
352510,821542
168290,509112
30216,207441
400277,914066
536655,1592397
332258,783693
553424,1711670
314361,755969
493801,1397759
179714,527153
352019,826630
373330,868696
923,153746
672297,1227514
448573,1265115
609501,1818040
112583,371403
606617,1831920
677015,1513031
611491,1774337
251667,665648
65783,262342
443919,1275833
233338,627782
447382,1250804
742604,594854
164050,504735
33880,206191
489920,1391163
419863,1184646
57521,244904
183560,534107
312078,751772
311265,760317
315079,744822
758876,723921
392618,913494
474486,1391106
786819,1755442
140755,443088
199505,562888
234379,616532
491911,1419844
759062,722622
253653,647358
561654,1711297
272048,690364
488481,1357031
30359,204720
139837,450369
215157,604681
72326,282050
93006,316615
270301,680707
76743,276993
275923,689204
157842,467502
480937,1377200
39317,216287
38840,17339
536925,1518946
274143,700540
632005,1492748
664829,1207433
330851,799068
559172,1695852
248856,651865
702412,478961
310525,770213
170637,494214
119069,395131
89147,30345
18594,181505
216469,588112
311038,763401
465692,1301225
272696,683006
603413,1824442
428447,1243812
413025,1193932
460738,1310848
463012,1334339
237098,617477
84380,304967
445318,1244338
786060,1729706
19231,11739
217397,583280
599646,1785875
18870,12378
750066,586017
330229,806201
599435,1793218
335158,781597
479892,1340471
391566,892848
621907,796739
492352,1396755
233972,622067
691015,857434
558254,1705413
535095,1644927
502522,1426712
395415,893699
100070,355980
153781,477396
532657,1635867
543282,1683304
454742,1287029
272028,689344
504611,1492729
143547,440247
86548,298923
415917,1122543
149291,470730
670483,1246361
554850,1674742
369442,852468
5539,153369
743078,592760
275618,676718
5295,159998
573225,1760168
271274,697594
475935,1374992
69489,261150
536250,1643285
576693,1772075
557493,1711795
584760,1730566
632546,1497146
153220,480685
612344,1804545
525046,1515384
419099,1184820
468560,1309605
681482,872891
374567,858314
120968,395047
651411,1424253
112070,373816
538472,1644410
395114,1080382
270302,680849
482260,1388177
187905,525093
97668,336054
43167,223450
30601,14895
183423,537165
275164,683304
768708,680182
10960,167308
476441,1408478
214654,581460
356093,814126
119507,393972
582493,1721077
43878,16988
386490,892844
185068,524530
786722,1754443
788242,1609536
587068,1726763
49803,237712
468303,1315700
374508,862009
538190,1616515
613049,1779462
237457,616147
470698,1387966
183220,537605
167944,511678
698875,400045
514925,1486543
485581,1385307
129126,418955
41855,217215
560915,1657952
783065,1771171
248066,665897
81173,300113
562373,1678074
668170,1215053
128292,423507
118326,400431
103567,35938
420621,1118744
42156,222200
536709,1591540
273730,675857
550538,1698421
612240,1808571
219615,586868
44805,216039
469380,1285381
369524,848772
352044,824896
399974,893195
214482,598380
170075,495155
680233,879320
638570,1486013
91434,316818
220213,583394
253076,650166
787931,1609533
255806,648626
43429,227891
500433,1425672
140696,444650
437164,1261770
236656,620664
713326,450666
5598,152982
97239,342083
526696,1512306
742075,590804
747589,563168
515980,1420179
55600,254202
254619,667421
169480,500704
149353,484378
306381,753976
291422,725389
179297,526928
39273,15988
577184,1727552
167413,504173
514696,1495296
33049,206862
514295,1415592
595715,1779687
445383,1242874
715606,399839
118438,401936
425719,1262478
469813,1303065
707895,449201
187324,529548
370973,855610
273599,704375
157663,467801
621436,790250
372287,867211
493559,1346281
127722,426778
660885,1334553
548146,1666401
35374,206925
585412,1718370
35970,206714
354700,834485
60331,252754
541466,1701432
733342,357522
171800,501817
667696,1266447
415639,1120791
504303,1416471
453235,1298375
115382,403647
506307,1480203
16481,180878
400259,897672
184096,529871
549942,1663268
547485,1675782
156018,481481
560081,1677714
251884,661700
653554,1397019
5039,158230
111101,384362
601713,1799190
427990,1246730
330300,803844
96673,337951
265438,677551
101862,36757
168949,504487
491945,1336097
294173,724004
286358,730633
473685,1396983
169296,502937
771442,630554
352717,817683
771714,636036
504063,1427725
96398,33763
685096,888796
586870,1732504
436843,1209884
62975,270212
573131,1763121
386944,945186
356603,827615
599519,1790426
333751,802095
334503,790732
776891,1093263
131186,418413
583808,1751707
335606,799696
62851,262924
708206,447223
607917,1790429
530017,1662645
759787,756814
752504,530104
756546,558095
689971,821059
153574,480055
253797,643417
678351,893266
561723,1700204
417617,1204591
35950,216195
234941,612791
60584,22290
120794,395774
603539,1826464
23185,200475
249489,657253
88645,321018
557512,1711660
110115,374684
561010,1655178
352138,825807
530151,1629944
265300,685819
155017,466617
420096,1208117
49756,227407
172352,496779
204116,553528
120473,398516
354333,837822
772337,633918
97426,344426
310906,766727
139017,452312
49669,230686
52501,229090
52966,239868
5034,158929
413069,1184946
136562,459314
531981,1515197
34899,199509
10820,169010
467244,1327772
560344,1672930
198831,567804
235201,612538
285458,711422
217792,582429
785435,174169
22656,194036
103907,356979
233210,632128
152762,475042
699347,406871
350078,835524
156116,479384
685361,884175
356123,816105
309896,749816
747223,564097
201081,552765
462466,1318324
78160,292511
599373,1795064
130874,420809
195177,552899
520357,1642992
237968,618258
671916,1230389
548225,1663967
767060,619976
411972,1118834
422812,1118302
86402,298861
527461,1610305
49842,240144
58640,245163
419757,1960854
391346,922809
487610,1385887
36039,201217
520157,1611650
417712,1193332
791585,1644798
395649,885079
103536,359585
218524,600755
555756,1654963
20272,11802
573645,1773243
330092,783580
110453,37494
466447,1329830
169070,504176
129200,418166
438660,1227209
156933,473384
358234,881478
612024,1815663
374225,865677
308032,749526
171753,504508
440504,1236613
275908,674701
119165,397288
83114,303330
164193,495314
11966,166052
617421,913738
11846,169831
536644,1593782
612926,1794875
272862,680567
412199,1111995
35431,202563
446467,1217744
82756,299235
52259,235211
118991,396654
331267,793333
559767,1682848
376857,865391
200001,560319
351863,829377
631822,185349
9932,11287
312116,750433
121274,393242
84290,299694
550944,1681714
443144,1227218
300746,749597
535676,1643875
787032,1757262
153496,478854
307863,750864
612621,1795135
562460,1675687
373751,879543
397994,893226
61339,253327
583827,1751089
468341,1314998
791961,1632173
354122,840822
85301,297153
251102,655985
179120,535801
69124,269310
290603,734165
332396,780630
421812,1203546
459751,1308522
508567,1451756
397770,896843
108992,372760
44285,213517
4435,153817
389731,894999
103252,361081
88468,317149
582190,1737609
462180,1320800
186846,531527
624218,777275
339997,840935
345762,811152
626104,764672
600656,1808540
562735,1707935
9958,167706
554264,1684220
27505,194305
653092,1399053
600111,1829750
28485,195694
762655,600834
574947,1753735
624688,774268
168435,507553
215344,601114
742821,593047
127720,427500
428452,1243791
47232,227142
101800,352556
12166,164554
59249,247286
675161,1502781
254035,659942
515174,1477056
600899,1789747
236206,627512
58156,22140
525469,1634275
4460,154390
58535,248021
5842,158031
786814,1752452
194945,562544
233799,624701
780173,1085995
68071,270662
782562,1701844
331094,796590
594291,1792767
203217,559041
86093,294447
61062,21429
140801,442738
451762,1309980
199308,564519
536142,1605584
256244,643763
664148,1297702
475086,1384081
553865,1692682
659118,1380216
186032,539515
234258,619036
334645,787686
444447,1221062
332358,784391
109573,377872
504453,1504216
534869,1614178
65695,264816
486506,1342929
625732,761421
270644,686146
72792,276890
373716,879421
169899,496763
560142,1676254
579261,1737739
84695,304632
237896,636093
61194,245194
437372,1250312
512710,1478816
35261,15749
140765,450626
475353,1409074
536056,1607903
539145,1511453
83463,297123
404871,1181729
233427,628512
149115,472343
397959,891048
187856,525224
101655,358021
413155,1188161
351813,828169
217526,592299
393676,891027
291711,722541
420339,1123125
389816,891624
27537,13016
370403,864444
638874,1485083
404630,1124548
142472,447591
169185,504040
560416,1671524
610332,1800759
560226,1674572
552207,1685098
103621,35812
203873,557417
748850,513677
63850,262172
334558,788662
80303,295476
583443,1762649
255560,651746
758916,723334
195327,552541
253736,644211
497121,1482736
545602,1706235
524438,1643325
9390,165971
153936,476351
220149,584515
5621,152677
559958,1710383
111959,38098
754778,528596
92925,319256
569270,1729255
415729,1185402
140937,442592
457018,1334545
412938,1189816
351340,843853
755385,522738
350988,840556
395386,895192
585512,1716131
172555,495103
421968,1202582
310772,767569
248615,656786
139467,452815
476343,1370645
355837,817349
25714,13574
674354,1593948
666840,1266530
396567,930245
170056,495382
458852,1287737
67029,23628
554601,1678649
43784,217436
90455,30243
612441,1801875
86210,28827
142114,450836
115612,392053
119985,403804
547231,1704306
90579,313819
294772,714908
534240,1517536
458659,1296827
685678,882550
271181,698129
482212,1390110
486619,1407820
782096,1795904
131020,419735
654953,1304756
670527,1244669
463938,1282023
481402,1351761
467159,1300035
468030,1323292
141778,452263
437616,1239158
67723,262707
700360,404839
504773,1486262
768229,612787
612885,1785663
576683,1772094
351375,832910
345207,829486
217813,581701
756605,558573
538966,1517234
696214,736812
375458,846009
427311,1250741
358232,881483
521265,1601469
360034,867425
446128,1225794
118832,397282
234660,615163
376561,881083
352496,821534
44000,214720
110120,374375
156263,478738
292785,712074
110946,380825
118043,402081
444746,1275825
169763,498792
26881,13315
333242,777268
142356,448691
712949,422156
310108,765955
211156,614088
118684,398767
187811,524990
702805,474043
103137,352535
43788,17061
254207,663909
200682,554966
396510,928303
586495,1743794
52848,239220
9891,171340
690847,850914
404930,1182166
532544,1638360
584369,1739984
447176,1260578
666962,1263536
154022,474462
292461,714063
579683,1730038
52781,227015
421987,1084330
418514,1094572
140720,443537
236567,623399
218233,604510
671300,1238442
703478,475197
335571,778428
355458,823660
559884,1680590
532633,1636173
33635,205578
549322,1683956
235917,631794
441968,1262303
273970,679996
396965,919407
214524,591759
143030,955027
74474,281307
128316,423783
375191,853636
60406,22526
533513,1643651
313063,758936
333759,802831
442921,1227195
171032,510082
447803,1236244
72324,282905
33141,15234
457208,1335517
452510,1304432
562426,1676586
72949,276745
124881,427444
291138,729404
607691,1826193
696373,731306
594842,1788641
412339,1091527
373809,873530
457319,1290550
234068,621650
78429,279188
237089,616709
549858,1667187
353951,810509
586933,1730556
534894,1611337
538581,1602488
184018,529986
603722,1821785
492677,1387349
437382,1249597
565751,1758819
91813,318915
26855,13338
128730,421473
168916,506189
51731,238110
585145,1724346
27265,196111
489545,1400385
492424,1394715
526595,1516194
311540,757255
186114,539126
562790,1665569
369422,856117
10751,165473
411801,1205880
573638,1773470
25586,14013
33074,206357
490264,1384786
563012,1653975
172396,497490
683825,811068
4589,153245
26284,195336
601929,1817561
202098,567693
763719,602826
85733,306036
662691,1351227
81779,302415
334076,795749
376683,873955
562882,1662101
793645,1628326
609283,1825983
526045,1608179
376025,837778
217618,607291
422832,1119088
79030,284791
594771,1789227
761618,698118
110490,372002
598004,1834494
441056,1219310
535226,1632193
130124,425854
368537,854332
417775,1191008
128444,423230
47105,228099
34769,208939
334709,788805
642196,1442965
504807,1481348
140439,446471
118056,402518
469320,1287071
548799,1701190
268297,686152
613747,1790431
489769,1394189
115331,404604
423136,1111595
420308,1122978
550728,1691576
446478,1217740
389668,897119
389802,891808
531589,1591695
454093,1291339
715083,452066
61415,254475
470632,1307788
50682,232520
390529,925720
666153,1276530
215012,605205
376577,881259
26645,192711
785801,1731798
49807,237762
398702,1084097
354226,840544
371044,881845
111660,38666
420433,1120536
599911,1835604
55548,244858
248872,649560
537109,1515212
416271,1114739
127328,427610
187730,526441
312875,745494
69768,268834
683334,819151
604483,1808466
362763,858796
268045,687121
378014,871873
515172,1477229
419415,1207901
81439,296385
233900,622895
125127,416570
443290,1216056
57068,254713
119661,393193
526282,1600589
559101,1697370
685407,883292
520287,1610433
776032,655721
451300,1315278
127474,418971
793567,1622264
139768,450997
520753,1609986
94366,338240
63652,265807
475880,1375955
199698,560965
219063,593584
572922,1713374
234721,614670
78658,284664
421271,1205179
354750,830426
660373,1335477
332387,781630
345694,829767
513731,1502105
596906,1838984
635678,1467902
96888,336375
673929,1253860
140698,445133
3545,8865
512575,1505436
12502,172067
234493,616314
90923,29346
466067,1288339
64187,260682
369399,854786
23091,13133
653736,1393278
17270,181147
667553,1262595
496299,1489995
677723,890169
152879,468574
756863,553358
30708,199414
777125,1095465
98125,332966
199549,562706
399355,917633
654438,1306514
678039,891855
493241,1365319
378186,846921
48583,238493
329687,785679
251105,656130
583322,1762048
413240,1181770
156508,476002
39302,213337
482089,1393997
483178,1390133
139562,451961
49662,230337
157419,469120
120878,395228
753768,532264
5457,154272
184157,530964
217861,592303
682084,867507
131421,417861
469562,1280319
682660,868415
747076,568913
689556,820728
459239,1329791
507548,1485344
441813,1266239
470061,1327744
578880,1743149
562737,1667981
109797,377952
676132,1511873
621406,799909
4253,9828
576311,1756761
311096,763380
712923,422272
157658,467846
481127,1367298
218272,601443
67008,263039
168796,505402
203865,553855
533780,1520725
555405,1663973
356311,813834
108892,377878
723556,380429
102218,35891
137630,460017
141930,452073
45941,18410
290152,732294
699984,408087
52142,234763
701553,477444
332537,782391
514697,1495050
585424,1719292
536660,1591986
202660,562523
313336,741711
218031,604236
18203,177240
550399,1703751
91604,315764
414474,1207300
538253,1613544
167520,496185
131533,416596
580694,1767657
466274,1276843
235533,634295
75779,280593
110398,373487
156519,476422
463237,1298794
753094,531194
186798,533553
794379,1197721
684585,880878
432623,1228648
706703,486714
129699,416336
665398,1205155
486597,1408287
143659,439542
49667,230791
96274,338812
141151,441240
661358,1322639
251583,665740
387242,891539
412403,1091079
272824,680629
52409,235196
527444,1611039
307535,755500
423543,1333125
489746,1394407
586579,1771547
275777,675469
535344,1628986
62728,266740
594731,1789422
754079,535247
72722,280189
119180,397169
13185,172117
60823,247016
92055,29691
179595,523458
413219,1127498
291238,725188
790133,1617789
458674,1296077
81717,294459
66573,264830
716525,394121
352502,821173
292128,718723
757742,729123
543537,1681970
375831,877728
399696,899217
702434,478418
179133,532970
353374,813744
331707,789321
392288,944742
536292,1603100
265815,675838
715210,455325
255582,651529
459370,1323444
547935,1674080
172488,496445
763323,604506
183380,535307
539405,1635945
490779,1372748
275480,678638
757299,555531
42158,220408
421420,1088239
671915,1236628
448591,1264845
69649,260561
215577,598704
393643,893787
5266,152262
397350,898878
469925,1303067
31945,14990
515226,1474432
219021,591943
295374,732131
513900,1426700
110601,372470
550599,1683776
390591,920305
251054,660286
707615,482309
168965,504950
219246,591417
504815,1484677
170206,494920
275715,675558
351688,830113
156715,474971
104584,353023
703409,475729
422873,1120044
377312,881677
94603,336074
476957,1362450
25689,191252
4590,154091
713478,450506
759116,725987
444045,1249405
692774,712155
626741,765973
188302,523495
447202,1257765
450024,1335380
690401,822246
562682,1667903
515520,1462280
350436,809928
292286,716604
520961,1605093
265567,694962
715525,399441
104210,355364
557304,1682268
12965,10524
481473,1345825
655825,1375491
311407,758819
276011,675770
293689,731004
505073,1472822
63965,261193
467007,1306776
168923,503246
142738,446233
454811,1286836
53269,232981
46171,232839
218747,595171
44037,16813
354492,838223
330180,809321
450359,1323035
74233,284728
4023,156610
200783,555402
265255,687624
305052,757050
172066,499243
125141,419008
3619,155506
758224,726912
356557,810118
586249,1753136
398635,883527
762334,695865
629130,1120848
204237,569206
294590,717798
84287,298723
202244,567618
535246,1631816
759321,759554
200405,556834
17957,176940
170544,512707
471197,1305027
251603,667397
246026,662560
473363,1402291
324930,795774
26869,189337
795104,1198038
287656,721465
26380,194467
637061,1418807
444850,1257629
597035,1807742
142246,449441
118541,399098
199572,563345
389878,889187
711944,426339
430928,1232451
535541,1621821
746214,569076
52581,17985
140337,446462
422769,1122055
69738,269669
271454,693901
393256,913634
636026,1468813
561621,1672062
142094,452074
513591,1445037
590766,1823622
377797,882886
790692,1684337
183319,536292
534727,1627660
585023,1726916
68759,265074
510647,1467457
412113,1115500
519274,1643801
265295,686233
153354,480538
745290,505374
397709,896233
492550,1391192
675006,1500519
535794,1614493
290160,730304
550598,1708696
235679,634780
291743,721160
289955,715637
471289,1282474
504130,1425546
376111,841811
184438,534875
103994,35145
714174,451818
539142,1511447
326346,803305
469856,1326193
709930,430002
758321,726321
169405,499588
376333,876776
119623,393204
523354,1511254
67359,24884
335476,778102
96428,341803
272593,681893
758786,724763
604850,1801153
467443,1288078
535644,1644401
374736,1848587
394027,886431
