ngram,count,unithood,len
several,5796,0.030903700450195713,7
flavor,5762,0.030722415802972344,6
photon,5747,0.030642437282138505,6
hole,5736,0.030583786366860353,4
representation,5672,0.030242544677969302,14
gluon,5653,0.030141238551579776,5
approximation,5646,0.030103915241857314,13
agreement,5622,0.02997594960852317,9
correlation,5613,0.029927962496022868,11
free,5598,0.029847983975189032,4
dimensional,5549,0.029586720807131817,11
rate,5546,0.02957072510296505,4
future,5537,0.02952273799046475,6
supersymmetry,5521,0.029437427568241983,13
perturbative,5451,0.029064194471017397,12
classical,5428,0.028941560739072177,9
conformal,5416,0.028877577922405105,9
previous,5391,0.02874428038768204,8
numerical,5390,0.028738948486293114,9
violation,5354,0.0285470000362919,9
set,5344,0.028493681022402673,3
massive,5336,0.028451025811291292,7
formalism,5327,0.02840303869879099,9
black holes,3342,0.028242786682529407,11
important,5250,0.027992482291843944,9
part,5203,0.027741882926564577,4
minimal,5198,0.027715223419619964,7
second,5148,0.027448628350173834,6
transverse,5130,0.027352654125173227,10
boundary,5126,0.027331326519617533,8
breaking,5120,0.027299335111284,8
single,5113,0.02726201180156154,6
extension,5001,0.026664838846002202,9
hadronic,4992,0.0266168517335019,8
baryon,4991,0.026611519832112976,6
tensor,4981,0.02655820081822375,6
gravitational,4948,0.026382248072389303,13
existence,4914,0.02620096342516593,9
signal,4912,0.02619029962238809,6
possibility,4886,0.026051670186276094,11
final,4876,0.02599835117238687,5
feature,4871,0.02597169166544226,7
direct,4871,0.02597169166544226,6
exact,4848,0.02584905793349704,5
dynamical,4841,0.02581173462377458,9
local,4833,0.0257690794126632,5
algebra,4808,0.02563578187794013,7
mixing,4801,0.025598458568217672,6
behavior,4787,0.025523811948772755,8
geometry,4781,0.025491820540439216,8
role,4777,0.02547049293488353,4
evolution,4764,0.025401178216827535,9
weak,4755,0.025353191104327228,4
resonance,4748,0.025315867794604773,9
proton,4737,0.02525721687932662,6
explicit,4719,0.025161242654326014,8
linear,4669,0.024894647584879883,6
asymmetry,4660,0.024846660472379576,9
critical,4658,0.02483599666960173,8
simulation,4643,0.024756018148767895,10
certain,4636,0.024718694839045433,7
application,4635,0.02471336293765651,11
channel,4615,0.02460672490987806,7
wave,4598,0.024516082586266374,4
massless,4598,0.024516082586266374,8
renormalization,4595,0.024500086882099606,15
electroweak,4585,0.02444676786821038,11
universe,4569,0.024361457445987618,8
arbitrary,4512,0.024057539066819022,9
context,4483,0.023902913926540266,7
technique,4442,0.02368430596959444,9
\to,4409,0.02350835322375999,3
total,4341,0.02314578392931325,5
full,4323,0.023049809704312644,4
addition,4306,0.022959167380700956,8
spacetime,4286,0.022852529352922504,9
relevant,4280,0.022820537944588968,8
construction,4276,0.022799210339033277,12
experimental data,2685,0.02269056919287596,17
cp,4229,0.022548610973753914,2
relativistic,4225,0.02252728336819822,12
electron,4223,0.022516619565420375,8
independent,4223,0.022516619565420375,11
similar,4195,0.022367326326530542,7
new physics,2646,0.022360985506275525,11
account,4157,0.022164714073751483,7
pion,4149,0.0221220588626401,4
configuration,4136,0.022052744144584108,13
detail,4108,0.02190345090569427,6
expression,4094,0.021828804286249354,10
formula,4071,0.02170617055430413,7
integral,4062,0.02165818344180383,8
nucleon,4033,0.02150355830152507,7
supergravity,4027,0.021471566893191536,12
source,4005,0.021354265062635238,6
transformation,4000,0.02132760555569062,14
neutral,3997,0.021311609851523857,7
high energy,2519,0.021287725808884373,11
additional,3974,0.021188976119578633,10
dual,3968,0.0211569847112451,4
observation,3965,0.021140989007078333,11
topological,3932,0.020965036261243884,11
lagrangian,3931,0.02095970435985496,10
observables,3854,0.020549147952907916,11
implication,3838,0.020463837530685154,11
angle,3838,0.020463837530685154,5
invariance,3836,0.02045317372790731,10
formulation,3830,0.020421182319573773,11
anomaly,3801,0.020266557179295017,7
dirac,3795,0.020234565770961478,5
symmetric,3787,0.020191910559850097,9
component,3773,0.02011726394040518,9
low energy,2377,0.02008770315510844,10
one-loop,3764,0.020069276827904877,8
jet,3748,0.019983966405682115,3
difference,3746,0.01997330260290427,10
differential,3740,0.019941311194570734,12
significant,3738,0.01993064739179289,11
uncertainty,3715,0.019808013659847665,11
moment,3710,0.019781354152903052,6
yang-mills,3695,0.019701375632069213,10
evidence,3691,0.019680048026513526,8
nuclear,3681,0.019626729012624296,7
special,3674,0.019589405702901838,7
metric,3673,0.019584073801512916,6
sum,3668,0.019557414294568302,3
element,3660,0.01951475908345692,7
good,3655,0.01948809957651231,4
rule,3654,0.019482767675123386,4
many,3649,0.01945610816817877,4
global,3640,0.01940812105567847,6
degree,3637,0.0193921253515117,6
coefficient,3635,0.019381461548733856,11
information,3632,0.019365465844567088,11
anomalous,3627,0.019338806337622475,9
diagram,3614,0.01926949161956648,7
scheme,3612,0.019258827816788636,6
oscillation,3590,0.019141525986232335,11
consequence,3585,0.019114866479287722,11
electromagnetic,3577,0.01907221126817634,15
power,3554,0.018949577536231117,5
space-time,3531,0.018826943804285897,10
quantum field,2227,0.01882007359126062,13
fundamental,3519,0.01876296098761883,11
one,3486,0.01858700824178438,3
size,3413,0.018197779440393025,4
complex,3386,0.018053818102892114,7
comparison,3359,0.0179098567653912,10
hamiltonian,3346,0.017840542047335206,11
phenomenological,3344,0.01782987824455736,16
complete,3338,0.017797886836223825,8
parton,3323,0.017717908315389986,6
initial,3308,0.017637929794556147,7
precision,3298,0.01758461078066692,9
angular,3294,0.01756328317511123,7
generation,3288,0.01753129176677769,10
expectation,3276,0.017467308950110623,11
test,3274,0.017456645147332778,4
extra,3272,0.01744598134455493,5
ii,3268,0.01742465373899924,2
flux,3268,0.01742465373899924,4
product,3268,0.01742465373899924,7
upper,3261,0.017387330429276784,5
thermal,3260,0.017381998527887858,7
motion,3245,0.01730202000705402,6
finite temperature,2044,0.01727356552336628,18
fluctuation,3233,0.017238037190386947,11
freedom,3219,0.01716339057094203,7
mev,3217,0.017152726768164185,3
specific,3217,0.017152726768164185,8
final state,2029,0.0171468025669815,11
muon,3169,0.016896795501495896,4
latter,3169,0.016896795501495896,6
quantum field theory,1583,0.01688079979732913,20
large hadron collider,1582,0.016870135994551283,21
mean,3156,0.016827480783439902,4
flat,3151,0.01680082127649529,4
top,3130,0.016688851347327914,3
use,3122,0.01664619613621653,3
electric,3119,0.016630200432049762,8
duality,3113,0.01659820902371623,7
connection,3097,0.016512898601493468,10
radiative,3094,0.0164969028973267,9
effective field theory,1532,0.016336945855659018,22
real,3060,0.016315618250103327,4
width,3052,0.016272963038991946,5
\bar,3046,0.01624097163065841,4
bulk,3044,0.016230307827880566,4
regime,3040,0.01620898022232487,6
quantity,3039,0.016203648320935952,8
luminosity,3039,0.016203648320935952,10
determination,3036,0.016187652616769185,13
fraction,3028,0.016144997405657804,8
annihilation,3024,0.01612366980010211,12
systematic,3024,0.01612366980010211,10
variable,3014,0.016070350786212884,8
version,3011,0.016054355082046116,7
effective action,1895,0.016014386823277448,16
reaction,3001,0.01600103606815689,8
natural,2987,0.015926389448711973,7
chiral symmetry,1879,0.01587917300313368,15
boundary conditions,1872,0.01582001695682078,19
beam,2966,0.015814419519544598,4
surface,2963,0.01579842381537783,7
central,2954,0.015750436702877527,7
magnetic field,1859,0.015710155727953968,14
conformal field,1856,0.015684803136677014,15
ad,2921,0.015574483957043079,2
singularity,2913,0.015531828745931698,11
interpretation,2909,0.015510501140376005,14
generalized,2898,0.015451850225097857,11
entropy,2898,0.015451850225097857,7
observed,2895,0.01543585452093109,8
sensitivity,2895,0.01543585452093109,11
interesting,2892,0.015419858816764321,11
procedure,2890,0.015409195013986477,9
wilson,2876,0.015334548394541559,6
cosmic,2875,0.015329216493152636,6
asymptotic,2867,0.015286561282041256,10
effective field,1807,0.015270710812486727,15
vertex,2863,0.015265233676485565,6
principle,2860,0.015249237972318795,9
main,2848,0.015185255155651724,4
radiation,2839,0.01513726804315142,9
analytic,2796,0.014907996283427746,8
polarization,2792,0.014886668677872056,12
curvature,2784,0.014844013466760675,9
target,2781,0.014828017762593905,6
inflation,2775,0.014796026354260371,9
respect,2750,0.014662728819537304,7
universal,2748,0.014652065016759459,9
usual,2747,0.014646733115370536,5
low-energy,2744,0.014630737411203769,10
monte,2731,0.014561422693147773,5
nature,2728,0.014545426988981005,6
final states,1721,0.014543936529213977,12
candidate,2719,0.014497439876480701,9
carlo,2717,0.014486776073702858,5
stable,2715,0.014476112270925011,6
horizon,2714,0.014470780369536088,7
soft,2708,0.014438788961202553,4
large hadron,1705,0.01440872270907021,12
branching,2698,0.014385469947313326,9
inclusive,2694,0.014364142341757636,9
magnitude,2691,0.014348146637590866,9
phenomenon,2683,0.014305491426479485,10
available,2668,0.014225512905645646,9
double,2667,0.014220181004256724,6
static,2662,0.01419352149731211,6
holographic,2660,0.014182857694534265,11
fit,2659,0.014177525793145343,3
two-dimensional,2656,0.014161530088978575,15
top quark,1675,0.014155196796300645,9
manifold,2644,0.014097547272311502,8
statistical,2636,0.01405489206120012,11
sensitive,2635,0.014049560159811198,9
detection,2633,0.014038896357033353,9
good agreement,1653,0.013969277793602967,14
collaboration,2610,0.013916262625088133,13
computation,2593,0.013825620301476448,11
next-to-leading order,1633,0.013800260518423256,21
generalization,2588,0.013798960794531835,14
cosmological constant,1632,0.013791809654664271,21
signature,2586,0.013788296991753988,9
supersymmetric standard model,1293,0.013788296991753988,29
origin,2585,0.013782965090365066,6
few,2581,0.013761637484809375,3
infinite,2578,0.013745641780642607,8
pure,2578,0.013745641780642607,4
color,2576,0.013734977977864762,5
generic,2572,0.013713650372309072,7
family,2570,0.013702986569531226,6
heavy quark,1620,0.013690399289556444,11
exchange,2558,0.013639003752864153,8
spectral,2556,0.01362833995008631,8
brane,2544,0.013564357133419237,5
detailed,2524,0.013457719105640784,8
effective theory,1584,0.013386168194232969,16
novel,2510,0.013383072486195868,5
negative,2501,0.013335085373695562,8
sample,2497,0.013313757768139874,6
covariant,2481,0.01322844734591711,9
bosonic,2480,0.013223115444528186,7
direction,2470,0.013169796430638961,9
quantization,2468,0.013159132627861116,12
fermionic,2464,0.013137805022305426,9
-1,2457,0.013100481712582965,2
condensate,2452,0.013073822205638352,10
open,2447,0.01304716269869374,4
theorem,2437,0.012993843684804513,7
estimate,2430,0.012956520375082053,8
relative,2421,0.01290853326258175,8
choice,2419,0.012897869459803906,6
assumption,2415,0.012876541854248216,10
threshold,2404,0.012817890938970065,9
basis,2399,0.012791231432025452,5
fact,2398,0.01278589953063653,4
line,2395,0.012769903826469762,4
reduction,2394,0.012764571925080839,9
flow,2385,0.012716584812580534,4
non-perturbative,2382,0.012700589108413768,16
strong coupling,1499,0.012667844774719203,15
cosmology,2373,0.012652601995913464,9
derivative,2373,0.012652601995913464,10
external,2372,0.01264727009452454,8
combination,2368,0.01262594248896885,11
aspect,2357,0.0125672915736907,6
compact,2357,0.0125672915736907,7
correspondence,2356,0.012561959672301776,14
distance,2355,0.012556627770912855,8
first order,1482,0.012524180090816451,11
\gamma,2347,0.012513972559801472,6
sigma,2345,0.012503308757023629,5
modulus,2344,0.012497976855634706,7
positive,2342,0.012487313052856861,8
conformal field theory,1170,0.012476649250079016,22
pp,2322,0.012380675025078407,2
four-dimensional,2315,0.012343351715355949,16
scaling,2312,0.012327356011189181,7
volume,2299,0.012258041293133187,6
nucleus,2294,0.012231381786188572,7
rise,2289,0.012204722279243959,4
abelian,2276,0.012135407561187965,7
chiral perturbation theory,1137,0.01212474375841012,26
gamma,2265,0.012076756645909814,5
precise,2261,0.012055429040354124,7
impact,2260,0.012050097138965201,6
stability,2260,0.012050097138965201,9
picture,2254,0.012018105730631667,7
first time,1421,0.012008677401518338,10
equivalent,2247,0.011980782420909207,10
modification,2245,0.011970118618131364,12
strength,2245,0.011970118618131364,8
behaviour,2238,0.011932795308408904,9
continuum,2221,0.01184215298479722,9
dependent,2219,0.011831489182019372,9
plane,2218,0.011826157280630452,5
propagator,2213,0.011799497773685838,10
deformation,2210,0.011783502069519069,11
spatial,2199,0.01172485115424092,7
further,2180,0.01162354502785139,7
hierarchy,2174,0.011591553619517853,9
other hand,1368,0.01156078162229211,10
inelastic,2168,0.011559562211184319,9
high-energy,2166,0.011548898408406474,11
excitation,2165,0.01154356650701755,10
lorentz,2160,0.011516907000072936,7
coordinate,2159,0.011511575098684015,10
law,2158,0.011506243197295093,3
ground,2150,0.011463587986183712,6
length,2150,0.011463587986183712,6
discrete,2149,0.011458256084794788,8
sm,2146,0.01144226038062802,2
radius,2138,0.011399605169516639,6
\rm,2131,0.01136228185979418,3
susy,2127,0.01134095425423849,4
\mathcal,2123,0.011319626648682798,8
fixed,2113,0.011266307634793573,5
supersymmetric standard,1333,0.011265001390727617,23
perturbative qcd,1332,0.011256550526968633,16
non-trivial,2111,0.011255643832015726,11
deviation,2109,0.011244980029237883,9
error,2106,0.011228984325071113,5
early,2092,0.011154337705626197,5
plasma,2091,0.011149005804237272,6
general relativity,1317,0.011129787570583851,18
nonlinear,2072,0.011047699677847744,9
yukawa,2064,0.011005044466736362,6
characteristic,2064,0.011005044466736362,14
necessary,2059,0.010978384959791749,9
heavy ion,1293,0.0109269668403682,9
scalar fields,1288,0.010884712521573272,13
probe,2038,0.010866415030624374,5
observable,2030,0.010823759819512993,10
flavour,2030,0.010823759819512993,7
cm,2028,0.010813096016735146,2
zero,2027,0.010807764115346223,4
next-to-leading,2014,0.010738449397290229,15
extended,2006,0.010695794186178848,8
infrared,2006,0.010695794186178848,8
issue,2004,0.010685130383401003,5
non-abelian,1991,0.010615815665345007,11
einstein,1987,0.010594488059789317,8
phenomenology,1986,0.010589156158400394,13
series,1977,0.01054116904590009,6
pseudoscalar,1974,0.010525173341733323,12
functional,1969,0.01049851383478871,10
analytical,1962,0.010461190525066251,10
change,1961,0.010455858623677329,6
singlet,1957,0.010434531018121638,7
probability,1948,0.010386543905621335,11
yield,1948,0.010386543905621335,5
canonical,1945,0.010370548201454565,9
appropriate,1943,0.010359884398676722,11
hard,1943,0.010359884398676722,4
conventional,1940,0.010343888694509954,12
literature,1929,0.010285237779231803,10
intermediate,1928,0.01027990587784288,12
euclidean,1910,0.010183931652842274,9
chiral perturbation,1199,0.010132585647023566,19
able,1899,0.010125280737564123,4
cp violation,1198,0.01012413478326458,12
neutron,1888,0.010066629822285974,7
neutrino mass,1184,0.010005822690638785,13
argument,1873,0.009986651301452135,8
qed,1872,0.00998131940006321,3
idea,1872,0.00998131940006321,4
radiative corrections,1181,0.009980470099361828,21
charm,1871,0.00997598749867429,5
force,1867,0.009954659893118598,5
spontaneous,1864,0.009938664188951831,11
year,1854,0.009885345175062604,4
factorization,1853,0.009880013273673683,13
chemical,1846,0.009842689963951223,8
compatible,1845,0.0098373580625623,10
tevatron,1844,0.009832026161173379,8
equal,1843,0.009826694259784455,5
generator,1838,0.009800034752839842,9
accuracy,1835,0.009784039048673074,8
domain,1830,0.00975737954172846,6
i.e,1827,0.009741383837561693,3
dominant,1823,0.009720056232006002,8
invariant mass,1150,0.009718493322833279,14
useful,1822,0.009714724330617078,6
deep,1814,0.009672069119505697,4
formation,1810,0.009650741513950007,9
mechanic,1810,0.009650741513950007,8
algorithm,1809,0.009645409612561084,9
short,1807,0.00963474580978324,5
dipole,1807,0.00963474580978324,6
ordinary,1805,0.009624082007005394,8
average,1802,0.009608086302838627,7
numerical results,1136,0.009600181230207483,17
shape,1791,0.009549435387560477,5
question,1789,0.009538771584782632,8
planck,1786,0.009522775880615864,6
partial,1783,0.009506780176449096,7
inverse,1782,0.009501448275060173,7
partition,1773,0.00945346116255987,9
show,1766,0.009416137852837412,4
basic,1763,0.009400142148670642,5
angular momentum,1112,0.009397360499991831,16
emission,1760,0.009384146444503874,8
n=2,1751,0.00933615933200357,3
branes,1745,0.009304167923670035,6
internal,1744,0.009298836022281112,8
heavy ion collisions,871,0.009288172219503267,20
view,1742,0.009288172219503267,4
second order,1098,0.009279048407366035,12
realization,1740,0.009277508416725422,11
multiple,1736,0.009256180811169731,8
magnetic moment,1093,0.009236794088571107,15
unitarity,1726,0.009202861797280503,9
sitter,1725,0.009197529895891583,6
cern,1722,0.009181534191724813,4
alternative,1717,0.0091548746847802,11
wide,1716,0.009149542783391279,4
tool,1707,0.009101555670890975,4
beta,1702,0.00907489616394636,4
nonperturbative,1702,0.00907489616394636,15
suitable,1696,0.009042904755612825,8
discussion,1695,0.009037572854223902,10
status,1695,0.009037572854223902,6
pole,1693,0.009026909051446057,4
treatment,1692,0.009021577150057134,9
pattern,1687,0.008994917643112521,7
mssm,1678,0.008946930530612218,4
tension,1676,0.008936266727834371,7
path,1676,0.008936266727834371,4
identity,1669,0.008898943418111913,8
realistic,1668,0.00889361151672299,9
unification,1665,0.008877615812556222,11
elastic,1665,0.008877615812556222,7
ion,1657,0.00883496060144484,3
geometric,1657,0.00883496060144484,9
\delta,1656,0.008829628700055919,6
development,1650,0.008797637291722383,11
long,1649,0.00879230539033346,4
kinetic,1649,0.00879230539033346,7
recent results,1040,0.008788898309344878,14
chern-simons,1648,0.008786973488944536,12
closed,1648,0.008786973488944536,6
investigation,1640,0.008744318277833155,13
enhancement,1639,0.008738986376444232,11
contrast,1633,0.008706994968110698,8
confinement,1631,0.008696331165332851,11
shift,1631,0.008696331165332851,5
divergence,1620,0.008637680250054704,10
review,1619,0.00863234834866578,6
relativity,1617,0.008621684545887935,10
object,1611,0.008589693137554397,6
doublet,1610,0.008584361236165476,7
hand,1593,0.00849371891255379,4
unique,1587,0.008461727504220256,6
effective potential,1001,0.008459314622744447,19
consistency,1585,0.00845106370144241,11
medium,1582,0.008435067997275641,6
multiplicity,1581,0.008429736095886719,12
-dimensional,1580,0.008424404194497796,12
sign,1580,0.008424404194497796,4
exotic,1579,0.008419072293108875,6
inelastic scattering,995,0.008408609440190533,20
absence,1577,0.008408408490331028,7
higher order,992,0.008383256848913577,12
rapidity,1572,0.008381748983386415,8
unified,1571,0.008376417081997493,7
understanding,1570,0.008371085180608568,13
original,1569,0.008365753279219647,8
discovery,1569,0.008365753279219647,9
increase,1565,0.008344425673663957,8
nontrivial,1560,0.008317766166719344,10
inflationary,1549,0.008259115251441193,12
strange,1543,0.008227123843107658,7
gauge field,969,0.00818888698245691,11
majorana,1533,0.008173804829218433,8
parity,1532,0.008168472927829509,6
star,1531,0.008163141026440586,4
program,1530,0.008157809125051664,7
upper limits,962,0.008129730936144013,12
axial,1524,0.008125817716718128,5
upper limit,961,0.008121280072385027,11
composite,1522,0.008115153913940283,9
feynman,1522,0.008115153913940283,7
proton-proton,1521,0.00810982201255136,13
early universe,959,0.008104378344867057,14
exclusive,1519,0.008099158209773515,9
\mu,1517,0.00808849440699567,3
unitary,1515,0.008077830604217824,7
interest,1511,0.008056502998662132,8
content,1511,0.008056502998662132,7
\cal,1509,0.008045839195884289,4
integrated luminosity,951,0.008036771434795172,21
kinematic,1505,0.008024511590328598,9
world,1504,0.008019179688939676,5
longitudinal,1502,0.008008515886161829,12
correct,1493,0.007960528773661525,7
noncommutative,1493,0.007960528773661525,14
leptonic,1493,0.007960528773661525,8
suppression,1490,0.007944533069494757,11
extra dimensions,939,0.007935361069687346,16
soliton,1484,0.007912541661161222,7
conformal field theories,741,0.007901877858383376,24
index,1480,0.007891214055605531,5
derivation,1478,0.007880550252827686,10
regularization,1477,0.007875218351438763,14
confidence,1477,0.007875218351438763,10
gauge theories,931,0.007867754159615464,14
resolution,1473,0.007853890745883073,10
gas,1472,0.00784855884449415,3
differential cross,925,0.00781704897706155,18
atlas,1465,0.007811235534771691,5
requirement,1465,0.007811235534771691,11
tree,1465,0.007811235534771691,4
definition,1460,0.007784576027827078,10
end,1458,0.007773912225049233,3
excess,1456,0.0077632484222713875,6
\lambda,1456,0.0077632484222713875,7
frame,1454,0.007752584619493542,5
lie,1451,0.0077365889153267735,3
so-called,1449,0.007725925112548928,9
prospect,1446,0.0077099294083821605,8
crucial,1446,0.0077099294083821605,7
non-zero,1445,0.007704597506993239,8
instanton,1444,0.007699265605604315,9
proportional,1439,0.007672606098659702,12
transfer,1437,0.007661942295881857,8
integrable,1437,0.007661942295881857,10
quadratic,1431,0.007629950887548321,9
conjecture,1428,0.0076139551833815525,10
third,1426,0.007603291380603707,5
two-loop,1425,0.007597959479214785,8
logarithmic,1422,0.007581963775048017,11
fb,1417,0.007555304268103404,2
super,1416,0.00754997236671448,5
next,1411,0.007523312859769868,4
ansatz,1409,0.007512649056992022,6
velocity,1408,0.0075073171556031,8
tree level,888,0.007504367017979088,10
constituent,1399,0.007459330043102796,11
virtual,1398,0.007453998141713873,7
cross-section,1398,0.007453998141713873,13
solar,1395,0.007438002437547105,5
three-dimensional,1393,0.007427338634769259,17
non-linear,1392,0.0074220067333803375,10
area,1389,0.007406011029213569,4
proton-proton collisions,874,0.007386054925353292,24
moduli space,871,0.007360702334076335,12
wall,1379,0.0073526920153243434,4
coulomb,1377,0.007342028212546497,7
dilaton,1375,0.007331364409768652,7
valid,1374,0.0073260325083797295,5
superconformal,1373,0.007320700606990807,14
introduction,1366,0.007283377297268348,12
equivalence,1364,0.0072727134944905025,11
right-handed,1364,0.0072727134944905025,12
improvement,1362,0.007262049691712657,11
improved,1358,0.007240722086156967,8
gap,1358,0.007240722086156967,3
minimum,1355,0.007224726381990199,7
article,1353,0.007214062579212354,7
quantum gravity,852,0.0072001359226556115,15
variety,1350,0.007198066875045586,7
kind,1348,0.007187403072267741,4
algebraic,1346,0.007176739269489895,9
consideration,1346,0.007176739269489895,13
integrated,1344,0.00716607546671205,10
relic,1344,0.00716607546671205,5
hidden,1341,0.007150079762545281,6
grand,1341,0.007150079762545281,5
polarized,1340,0.00714474786115636,9
graviton,1339,0.007139415959767436,8
instability,1331,0.007096760748656055,11
center,1329,0.007086096945878209,6
n=1,1326,0.007070101241711442,3
modified,1326,0.007070101241711442,8
preliminary,1325,0.0070647693403225196,11
direct detection,835,0.0070564712387528586,16
variation,1323,0.007054105537544674,9
quark-gluon plasma,834,0.007048020374993874,18
statistic,1316,0.007016782227822215,9
cft,1316,0.007016782227822215,3
compactification,1304,0.006952799411155143,16
maximal,1301,0.006936803706988376,7
topology,1297,0.0069154761014326846,8
lep,1294,0.006899480397265918,3
attention,1293,0.006894148495876994,9
