ngram,count,unithood
black hole,9942,0.10562742008547311
scalar field,7386,0.07847154745034243
conformal field theory,3428,0.04595732382301615
conformal field,3687,0.03917202754527654
quantum field theory,2826,0.037886638600887874
effective action,3472,0.0368877894323841
boundary condition,3374,0.03584660182743777
quantum field,3240,0.0344229371431234
cosmological constant,3047,0.03237243502317809
low energy,2193,0.02329922875150297
general relativity,2154,0.022884878582187594
magnetic field,2067,0.02196055897371484
standard model,1987,0.021110609908452534
gauge theory,1926,0.020462523746190026
modulus space,1924,0.020441275019558468
finite temperature,1920,0.02039877756629535
central charge,1821,0.019346965598033245
effective field theory,1299,0.017414983560705363
gauge field,1599,0.016988356941930346
first order,1591,0.016903362035404115
anti-de sitter,1559,0.016563382409299193
angular momentum,1524,0.016191529693246935
quantum gravity,1407,0.014948479185300812
effective field,1403,0.014905981732037697
second order,1388,0.014746616282301015
effective theory,1380,0.014661621375774784
strong coupling,1348,0.01432164174966986
exact solution,1338,0.014215398116512073
heterotic string,1327,0.014098530120038507
open string,1315,0.01397103776024916
special case,1220,0.01296172324525017
n =,1215,0.012908601428671276
fixed point,1215,0.012908601428671276
supersymmetric gauge theory,959,0.012856789249204343
dimensional reduction,1201,0.012759860342250373
effective potential,1185,0.01258987052919791
super yang-mills,1174,0.012473002532724344
extra dimension,1158,0.012303012719671883
critical point,1148,0.012196769086514094
differential equation,1143,0.012143647269935201
free energy,1134,0.012048028000093192
other hand,1108,0.011771794553882942
anomalous dimension,1097,0.011654926557409377
dark matter,1095,0.011633677830777817
scalar field theory,863,0.011569769678898173
black hole solution,862,0.011556363225040818
supersymmetric yang-mills,1061,0.011272449478041338
dark energy,1032,0.010964342941883752
supersymmetric gauge,1025,0.0108899723986733
supersymmetric yang-mills theory,812,0.01088604053217302
electromagnetic field,1024,0.010879348035357521
higher order,997,0.010592490225831492
gravitational wave,993,0.010549992772568377
high energy,993,0.010549992772568377
chiral symmetry,981,0.010422500412779031
previous work,935,0.009933779700253205
higher spin,906,0.009625673164095619
\cal n,892,0.009476932077674714
closed string,881,0.009360064081201148
large class,880,0.009349439717885369
gravitational field,871,0.009253820448043359
superconformal field theory,687,0.009210233800003529
massive gravity,858,0.009115703724938234
flat space,855,0.0090838306349909
super yang-mills theory,677,0.00907616926142997
global symmetry,854,0.009073206271675118
ads/cft correspondence,850,0.009030708818412005
higher dimension,800,0.008499490652623063
initial condition,796,0.008456993199359948
scalar potential,769,0.008170135389833919
critical exponent,758,0.008053267393360352
non-abelian gauge,752,0.007989521213465679
abelian gauge,749,0.007957648123518343
kinetic term,748,0.007947023760202563
supersymmetric theory,740,0.007862028853676333
free field,738,0.007840780127044776
space-time dimension,736,0.007819531400413218
electric field,727,0.007723912130571209
high temperature,726,0.00771328776725543
superconformal field,723,0.007681414677308093
early universe,719,0.007638917224044978
cosmic microwave background,563,0.007547833521691392
entanglement entropy,708,0.007522049227571411
explicit expression,707,0.007511424864255632
classical solution,699,0.007426429957729402
