ngram,count_x,unithood_x,termhood_x,count_y,unithood_y,termhood_y
black hole,8661,0.11528261303602626,1778856531.8681464,8661,0.11528261303602626,1778856531.8681464
scalar field,5770,0.07680183318529864,1201763682.450053,5770,0.07680183318529864,1201763682.450053
conformal field theory,3095,0.051983729087149544,652893582.1853471,3095,0.051983729087149544,652893582.1853471
conformal field,3329,0.04431079769044353,701477700.1967103,3329,0.04431079769044353,701477700.1967103
effective action,2903,0.038640506366884216,612954505.2252933,2903,0.038640506366884216,612954505.2252933
boundary condition,2893,0.03850740093675371,610871525.1689678,2893,0.03850740093675371,610871525.1689678
quantum field theory,2256,0.037891855515544214,477800448.9844628,2256,0.037891855515544214,477800448.9844628
quantum field,2586,0.034421064231747366,546838690.998297,2586,0.034421064231747366,546838690.998297
cosmological constant,2530,0.033675673823016554,535140160.2843364,2530,0.033675673823016554,535140160.2843364
modulus space,1757,0.023386624073928892,372996735.11419827,1757,0.023386624073928892,372996735.11419827
general relativity,1716,0.022840891810393837,364361354.1672018,1716,0.022840891810393837,364361354.1672018
low energy,1693,0.02253474932109369,359515749.31803346,1693,0.02253474932109369,359515749.31803346
central charge,1681,0.02237502280493709,356987405.2146898,1681,0.02237502280493709,356987405.2146898
gauge theory,1595,0.021230316105814787,338863681.09166235,1595,0.021230316105814787,338863681.09166235
magnetic field,1443,0.019207113567831183,306789977.1190258,1443,0.019207113567831183,306789977.1190258
finite temperature,1397,0.018594828589230884,297073201.1517156,1397,0.018594828589230884,297073201.1517156
anti-de sitter,1392,0.018528275874165633,296014512.5378809,1392,0.018528275874165633,296014512.5378809
angular momentum,1286,0.017117358314782328,273611248.14492613,1286,0.017117358314782328,273611248.14492613
gauge field,1283,0.01707742668574318,272977609.1924181,1283,0.01707742668574318,272977609.1924181
first order,1262,0.01679790528246913,268535508.1065836,1262,0.01679790528246913,268535508.1065836
open string,1185,0.015772993470464278,252243959.13183537,1185,0.015772993470464278,252243959.13183537
heterotic string,1150,0.015307124465007527,244833288.3889044,1150,0.015307124465007527,244833288.3889044
quantum gravity,1125,0.014974360889681277,239538531.10244328,1125,0.014974360889681277,239538531.10244328
exact solution,1121,0.014921118717629077,238691047.07942802,1121,0.014921118717629077,238691047.07942802
second order,1120,0.014907808174616026,238478626.11868736,1120,0.014907808174616026,238478626.11868736
n =,1071,0.014255591566976577,228099201.0797339,1071,0.014255591566976577,228099201.0797339
supersymmetric gauge theory,846,0.014209445818329083,180367917.01197526,846,0.014209445818329083,180367917.01197526
strong coupling,1055,0.014042622878767777,224706511.31135452,1055,0.014042622878767777,224706511.31135452
special case,1047,0.013936138534663373,223012289.05311057,1047,0.013936138534663373,223012289.05311057
effective field theory,827,0.013890321148650298,176331817.9757445,827,0.013890321148650298,176331817.9757445
dimensional reduction,1041,0.013856275276585074,221740769.06054562,1041,0.013856275276585074,221740769.06054562
super yang-mills,1014,0.013496890615232723,216015660.69044706,1014,0.013496890615232723,216015660.69044706
black hole solution,776,0.01303372335109145,165497154.2199495,776,0.01303372335109145,165497154.2199495
effective theory,974,0.012964468894710724,207533872.08165607,974,0.012964468894710724,207533872.08165607
critical point,969,0.012897916179645473,206472785.11205426,969,0.012897916179645473,206472785.11205426
fixed point,964,0.012831363464580222,205412682.10427403,964,0.012831363464580222,205412682.10427403
