ngram,count,unithood
chiral phase,448,0.005323781818335658
gravitational wave,448,0.005323781818335658
phenomenological implication,447,0.0053118983767768725
big bang,447,0.0053118983767768725
form factor,446,0.0053000149352180875
electroweak phase,446,0.0053000149352180875
short distance,446,0.0053000149352180875
light higgs,444,0.005276248052100517
heavy quark effective theory,303,0.005274904947241532
indirect detection,441,0.005240597727424163
lhc energy,440,0.005228714285865378
future collider,438,0.005204947402747808
electric charge,433,0.0051455301949538835
dark matter model,343,0.0051433651620257925
small value,431,0.005121763311836313
lowest order,430,0.005109879870277528
chiral condensate,429,0.005097996428718743
experimental limit,428,0.005086112987159958
supersymmetric theory,428,0.005086112987159958
experimental measurement,427,0.005074229545601173
recent progress,423,0.005026695779366034
special attention,421,0.005002928896248464
quantum number,417,0.004955395130013324
soft gluon,413,0.004907861363778184
heavy baryon,409,0.004860327597543045
direct search,409,0.004860327597543045
particular attention,409,0.004860327597543045
effective mass,407,0.004836560714425474
higgs doublet model,321,0.004813470020438132
scalar potential,401,0.004765260065072764
baryon asymmetry,401,0.004765260065072764
weak decay,400,0.004753376623513979
big bang nucleosynthesis,315,0.004723498618186952
previous result,396,0.00470584285727884
invariant mass distribution,312,0.004678512917061362
drell-yan process,392,0.004658309091043701
active neutrino,392,0.004658309091043701
next-to-leading order qcd,310,0.004648522449644301
previous study,390,0.0046345422079261305
analytic expression,389,0.004622658766367345
qcd phase,388,0.00461077532480856
hadronic collision,386,0.004587008441690991
rare decay,385,0.004575125000132206
quark matter,385,0.004575125000132206
higgs production,384,0.00456324155857342
higgs model,384,0.00456324155857342
lightest neutralino,384,0.00456324155857342
standard model particle,304,0.0045585510473931225
galactic center,382,0.00453947467545585
recent lattice,382,0.00453947467545585
elliptic flow,382,0.00453947467545585
new result,382,0.00453947467545585
symmetric model,382,0.00453947467545585
dark matter mass,302,0.004528560579976062
gauge symmetry,381,0.004527591233897066
high density,379,0.004503824350779496
strong cp,379,0.004503824350779496
good description,378,0.004491940909220711
solar neutrino problem,299,0.004483574878850472
electromagnetic field,377,0.004480057467661926
linear sigma model,298,0.004468579645141942
strong cp problem,296,0.004438589177724881
bethe-salpeter equation,371,0.004408756818309216
proton-proton collision,371,0.004408756818309216
spontaneous breaking,371,0.004408756818309216
new method,369,0.004384989935191646
deep-inelastic scattering,368,0.004373106493632862
standard model gauge,291,0.004363613009182232
detailed analysis,366,0.004349339610515292
gluon fusion,366,0.004349339610515292
same order,364,0.004325572727397722
feynman diagram,364,0.004325572727397722
relativistic heavy-ion collision,288,0.004318627308056642
partial wave,363,0.004313689285838937
gluon distribution,362,0.0043018058442801516
composite higgs,361,0.004289922402721367
nambu-jona-lasinio model,361,0.004289922402721367
current status,361,0.004289922402721367
strong coupling constant,285,0.004273641606931052
high precision,359,0.004266155519603796
current data,358,0.004254272078045011
next generation,357,0.004242388636486226
detailed study,357,0.004242388636486226
chiral lagrangian,356,0.004230505194927442
generalized parton distribution,282,0.0042286559058054615
bottom quark,354,0.004206738311809872
relativistic heavy-ion,354,0.004206738311809872
numerical analysis,353,0.004194854870251087
light cone,352,0.004182971428692302
direct cp,352,0.004182971428692302
numerical simulation,352,0.004182971428692302
axial vector,350,0.004159204545574733
