ngram
standard model
final state
upper limit
proton-proton collision
integrated luminosity
large hadron collider
centre-of-mass energy
differential cross section
pp collision
first time
invariant mass
top quark
large hadron
center-of-mass energy
differential cross
dark matter
good agreement
standard model prediction
new physic
first measurement
higgs boson
high energy
standard model expectation
transverse momentum
recent result
standard deviation
angular distribution
lower limit
proton-proton collision data
first observation
precise measurement
systematic uncertainty
preliminary result
s * *
cp violation
hadronic decay
new measurement
total cross section
previous measurement
perturbative qcd
next-to-leading order
neutrino oscillation
inelastic scattering
standard model higgs
double beta decay
s *
first uncertainty
theoretical prediction
b^0 \to
cern sps
atlas experiment
cosmic ray
semileptonic decay
significant excess
experimental result
low energy
lhcb experiment
elastic scattering
first error
total cross
inverse femtobarns
atmospheric neutrino
double beta
cm experiment
pb-pb collision
kinematic range
opal detector
heavy ion
cross section
solar neutrino
new result
nuclear modification factor
e+e- collider
top quark mass
radiative decay
standard model background
p \bar
magnetic field
high transverse momentum
inclusive production
present result
supersymmetric particle
underground laboratory
high statistic
hadronic z
strong coupling
first result
invariant mass distribution
invariant mass spectrum
high transverse
supersymmetric standard model
supersymmetric standard
supersymmetric model
supersymmetric partner
supersymmetric extension
