ngram,count,unithood
future collider,508,0.005412985486779238
dark matter model,401,0.005391734855523856
small x,502,0.00534905258732909
higgs production,501,0.0053383971040873975
potential model,501,0.0053383971040873975
recent development,498,0.005306430654362324
proton-proton collision,498,0.005306430654362324
experimental bound,497,0.005295775171120632
indirect detection,492,0.005242497754912176
chiral limit,492,0.005242497754912176
gluon fusion,491,0.005231842271670484
experimental limit,490,0.005221186788428793
phenomenological implication,487,0.005189220338703718
quantum number,486,0.005178564855462026
electric charge,483,0.005146598405736952
short distance,482,0.005135942922495261
gravitational wave,479,0.005103976472770187
small value,474,0.00505069905656173
heavy baryon,474,0.00505069905656173
big bang,473,0.005040043573320039
hadronic collision,472,0.005029388090078347
special attention,472,0.005029388090078347
lowest order,471,0.005018732606836656
cold dark,471,0.005018732606836656
weak decay,469,0.004997421640353273
heavy quark effective theory,318,0.004963980254251029
recent progress,465,0.004954799707386507
previous study,462,0.004922833257661433
dark matter mass,366,0.004921134556413295
higgs doublet model,365,0.004907688833581564
chiral phase,460,0.004901522291178051
electroweak phase,460,0.004901522291178051
next-to-leading order qcd,364,0.004894243110749834
drell-yan process,457,0.004869555841452976
particular attention,452,0.004816278425244519
rare decay,451,0.004805622942002827
effective mass,451,0.004805622942002827
standard model particle,356,0.004786677328095992
soft gluon,446,0.0047523455257943705
supersymmetric theory,445,0.004741690042552679
deep-inelastic scattering,444,0.0047310345593109876
heavy higgs,444,0.0047310345593109876
chiral condensate,443,0.004720379076069296
symmetric model,443,0.004720379076069296
current data,438,0.0046671016598608395
previous result,437,0.004656446176619148
active neutrino,437,0.004656446176619148
lightest neutralino,436,0.0046457906933774565
new method,434,0.0046244797268940735
systematic uncertainty,434,0.0046244797268940735
new result,434,0.0046244797268940735
gauge symmetry,434,0.0046244797268940735
baryon asymmetry,433,0.004613824243652382
high precision,433,0.004613824243652382
next generation,432,0.0046031687604106905
dark matter search,340,0.004571545762788306
global analysis,429,0.004571202310685616
current status,429,0.004571202310685616
heavy neutrino,427,0.004549891344202233
detailed study,427,0.004549891344202233
higgs model,425,0.004528580377718851
scalar potential,422,0.0044966139279937764
analytic expression,420,0.0044753029615103935
composite higgs,418,0.0044539919950270105
elliptic flow,418,0.0044539919950270105
good description,418,0.0044539919950270105
detailed analysis,417,0.004443336511785319
big bang nucleosynthesis,330,0.0044370885344710035
direct cp,412,0.004390059095576862
recent lattice,412,0.004390059095576862
qcd phase,411,0.004379403612335171
heavy flavor,410,0.004368748129093479
bottom quark,409,0.004358092645851788
galactic center,409,0.004358092645851788
strong cp,409,0.004358092645851788
strong cp problem,321,0.004316077028985431
standard model gauge,318,0.00427573986049024
partial wave,401,0.004272848779918257
strong coupling constant,317,0.004262294137658509
light meson,399,0.004251537813434874
neutral gauge boson,316,0.004248848414826779
relativistic heavy-ion collision,316,0.004248848414826779
lower limit,397,0.004230226846951491
spontaneous breaking,397,0.004230226846951491
differential distribution,396,0.004219571363709799
effective operator,396,0.004219571363709799
high density,395,0.004208915880468108
gluon distribution,394,0.004198260397226417
quark matter,394,0.004198260397226417
electromagnetic field,393,0.004187604913984726
same order,392,0.004176949430743034
heavy quarkonium,390,0.004155638464259651
generalized parton distribution,309,0.004154728355004667
cp-violating phase,389,0.00414498298101796
bethe-salpeter equation,389,0.00414498298101796
higher energy,388,0.004134327497776268
relativistic heavy-ion,386,0.004113016531292886
near future,385,0.004102361048051195
nucleus-nucleus collision,385,0.004102361048051195
axial vector,384,0.004091705564809502
hadronic decay,383,0.004081050081567811
boson mass,382,0.004070394598326119
numerical analysis,382,0.004070394598326119
cern lhc,381,0.004059739115084429
nuclear modification,381,0.004059739115084429
dark matter relic density,260,0.004058600207878201
tev scale,378,0.004027772665359354
feynman diagram,378,0.004027772665359354
linear sigma model,299,0.0040202711266873635
solar neutrino problem,298,0.004006825403855633
lattice qcd,376,0.004006461698875971
higgs potential,372,0.003963839765909206
nambu-jona-lasinio model,372,0.003963839765909206
light cone,370,0.003942528799425823
complete set,367,0.003910562349700749
chiral lagrangian,367,0.003910562349700749
one-loop correction,367,0.003910562349700749
numerical simulation,367,0.003910562349700749
strong constraint,366,0.0038999068664590576
critical point,362,0.003857284933492292
dimensional regularization,360,0.0038359739670089086
hadronic matrix element,283,0.0038051395613796788
precise measurement,357,0.0038040075172838346
global symmetry,356,0.003793352034042143
top quark pair,281,0.003778248115716218
excellent agreement,353,0.0037613855843170686
analytical expression,353,0.0037613855843170686
different model,353,0.0037613855843170686
previous analysis,352,0.0037507301010753775
intermediate state,352,0.0037507301010753775
electroweak baryogenesis,350,0.0037294191345919945
shear viscosity,350,0.0037294191345919945
monte carlo,350,0.0037294191345919945
heavy quark mass,277,0.0037244652243892972
baryon number,349,0.003718763651350303
first order phase,275,0.0036975737787258364
dark energy,347,0.0036974526848669205
fixed point,346,0.003686797201625229
systematic error,345,0.0036761417183835375
phenomenological consequence,345,0.0036761417183835375
stringent constraint,344,0.0036654862351418465
large momentum,343,0.003654830751900155
new data,343,0.003654830751900155
dyson-schwinger equation,341,0.003633519785416772
phenomenological analysis,340,0.003622864302175081
experimental search,339,0.0036122088189333894
effective coupling,339,0.0036122088189333894
present work,339,0.0036122088189333894
large transverse momentum,268,0.0036034537189037243
new physic effect,267,0.0035900079960719936
generalized parton,336,0.0035802423692083145
high luminosity,334,0.003558931402724932
mean field,334,0.003558931402724932
dominant contribution,334,0.003558931402724932
scalar particle,334,0.003558931402724932
soft supersymmetry,334,0.003558931402724932
neutron star,333,0.0035482759194832405
perturbative expansion,333,0.0035482759194832405
crucial role,332,0.003537620436241549
neutral gauge,332,0.003537620436241549
neutrino mass hierarchy,263,0.003536225104745073
electroweak gauge,331,0.0035269649529998575
low scale,330,0.0035163094697581664
virtual compton,330,0.0035163094697581664
high scale,327,0.003484343020033092
qcd factorization,326,0.003473687536791401
strong decay,326,0.003473687536791401
nuclear modification factor,258,0.003468996490586421
phenomenological model,323,0.0034417210870663264
susy model,322,0.0034310656038246353
hadronic matter,322,0.0034310656038246353
numerical calculation,322,0.0034310656038246353
parameter space,319,0.003399099154099561
low temperature,319,0.003399099154099561
special emphasis,319,0.003399099154099561
few percent,319,0.003399099154099561
composite higgs model,251,0.0033748764307643085
preliminary result,316,0.003367132704374487
spectral index,315,0.0033564772211327953
lagrangian approach,315,0.0033564772211327953
chiral symmetry restoration,249,0.003347984985100848
single spin asymmetry,249,0.003347984985100848
new physic contribution,248,0.003334539262269118
lepton number,312,0.003324510771407721
electroweak interaction,312,0.003324510771407721
anomalous coupling,312,0.003324510771407721
new physic model,247,0.0033210935394373878
large mass,311,0.0033138552881660293
neutrino oscillation experiment,245,0.003294202093773927
decay constant,309,0.0032925443216826463
fourth generation,308,0.0032818888384409553
large transverse,308,0.0032818888384409553
low mass,307,0.003271233355199264
higgs coupling,307,0.003271233355199264
d^ *,307,0.003271233355199264
minimal model,306,0.0032605778719575723
other model,306,0.0032605778719575723
light neutrino mass,242,0.003253864925278736
higher order correction,241,0.003240419202447006
e+ e-,304,0.0032392669054741897
linear sigma,303,0.0032286114222324983
spontaneous symmetry,303,0.0032286114222324983
light higgs boson,240,0.003226973479615275
first-order phase transition,240,0.003226973479615275
light quark mass,240,0.003226973479615275
dark matter density,239,0.003213527756783545
new approach,301,0.0032073004557491153
partial width,301,0.0032073004557491153
theoretical model,299,0.0031859894892657327
recent work,299,0.0031859894892657327
milky way,298,0.0031753340060240412
electric field,298,0.0031753340060240412
present data,298,0.0031753340060240412
