ngram,count,unithood
black hole,9399,0.11257284631611064
scalar field,6443,0.07716851248161515
conformal field theory,3352,0.05066021300911272
conformal field,3604,0.04316550038549449
quantum field theory,2550,0.03853924319010663
effective action,3199,0.03831477129112011
boundary condition,3183,0.03812313754912013
quantum field,2924,0.03502106635049553
cosmological constant,2721,0.03258971324887084
general relativity,1905,0.02281639240687209
modulus space,1894,0.022684644209247103
low energy,1843,0.022073811656622182
central charge,1803,0.021594727301622246
gauge theory,1743,0.020876100769122337
magnetic field,1614,0.019331053724247534
finite temperature,1570,0.018804060933747598
anti-de sitter,1467,0.017570418719622758
gauge field,1429,0.017115288582372816
angular momentum,1400,0.01676795242499786
first order,1382,0.016552364465247885
open string,1271,0.015222905380123058
heterotic string,1264,0.01513906561799807
exact solution,1253,0.015007317420373084
quantum gravity,1234,0.014779752351748113
second order,1220,0.014612072827498135
n =,1179,0.014121011363623199
dimensional reduction,1149,0.013761698097373244
supersymmetric gauge theory,909,0.013738106690120364
special case,1143,0.013689835444123255
strong coupling,1125,0.013474247484373281
effective field theory,884,0.013360270972570299
super yang-mills,1072,0.012839460713998363
critical point,1070,0.012815506496248364
black hole solution,839,0.012680166680980183
effective theory,1056,0.012647826971998385
free energy,1055,0.012635849863123388
fixed point,1050,0.012575964318748396
standard model,1029,0.012324445032373427
differential equation,1016,0.012168742616998447
effective potential,984,0.011785475132998496
effective field,978,0.011713612479748505
supersymmetric gauge,973,0.011653726935373513
scalar field theory,762,0.011516432670925981
supersymmetric yang-mills,957,0.011462093193373537
other hand,931,0.011150688362623578
supersymmetric yang-mills theory,735,0.011108370095971912
extra dimension,926,0.011090802818248584
electromagnetic field,886,0.010611718463248645
higher spin,884,0.010587764245498649
higher order,854,0.010228450979248694
superconformal field theory,674,0.010186450945149753
closed string,843,0.010096702781623711
anomalous dimension,842,0.010084725672748714
previous work,826,0.009893091930748738
massive gravity,821,0.009833206386373744
\cal n,816,0.009773320841998754
flat space,808,0.009677503970998765
super yang-mills theory,637,0.009627254083175657
gravitational field,801,0.009593664208873776
large class,794,0.009509824446748786
ads/cft correspondence,766,0.009174465398248828
higher dimension,751,0.008994808765123853
dark energy,742,0.008887014785248866
global symmetry,736,0.008815152131998875
free field,722,0.008647472607748896
superconformal field,709,0.008491770192373916
critical exponent,702,0.008407930430248926
bosonic string,692,0.008288159341498942
entanglement entropy,680,0.008144434034998961
high energy,675,0.008084548490623969
supersymmetric theory,673,0.00806059427287397
explicit expression,665,0.007964777401873983
classical solution,662,0.007928846075248987
space-time dimension,661,0.00791686896637399
hilbert space,651,0.007797097877624004
abelian gauge,649,0.007773143659874008
black hole entropy,504,0.007617168065809311
gravitational wave,631,0.007557555700124036
electric field,621,0.007437784611374051
non-abelian gauge,620,0.0074258075024990515
new class,614,0.007353944849249061
conformal symmetry,614,0.007353944849249061
recent work,614,0.007353944849249061
scalar potential,609,0.00729405930487407
initial condition,607,0.0072701050871240725
cosmological model,603,0.007222196651624078
kinetic term,601,0.00719824243387408
two-point function,595,0.00712637978062409
spacetime dimension,592,0.007090448453999095
explicit example,586,0.007018585800749105
chiral symmetry,584,0.006994631582999108
n limit,583,0.0069826544741241085
minimal model,582,0.006970677365249111
electric charge,580,0.006946723147499113
high temperature,577,0.006910791820874118
infinite number,571,0.006838929167624128
critical value,570,0.006826952058749129
conformal invariance,566,0.006779043623249135
energy-momentum tensor,566,0.006779043623249135
late time,557,0.006671249643374148
anti-de sitter space,437,0.006604568342775136
arbitrary dimension,541,0.0064796159013741726
n=4 sym,535,0.006407753248124182
nonlinear sigma model,421,0.006362753483543095
einstein gravity,524,0.006276005050499199
dark matter,518,0.006204142397249208
recent result,517,0.00619216528837421
arbitrary number,514,0.006156233961749214
cosmic string,512,0.006132279743999217
green function,512,0.006132279743999217
minkowski space,512,0.006132279743999217
spatial dimension,509,0.006096348417374222
weak coupling,509,0.006096348417374222
hole solution,506,0.006060417090749227
tree level,505,0.006048439981874228
black hole horizon,397,0.006000031194695033
heterotic string theory,395,0.005969804337291027
previous result,492,0.005892737566499248
auxiliary field,488,0.005844829130999253
complex structure,485,0.0058088978043742585
